Country,Clicks,Impressions,CTR,Position
India,148551,7636707,1.95%,5.42
United Arab Emirates,158,5892,2.68%,4.59
United States,104,394556,0.03%,5.91
United Kingdom,81,23305,0.35%,6.41
Saudi Arabia,58,3161,1.83%,6.26
Pakistan,50,5798,0.86%,6.46
Nepal,50,3690,1.36%,5.18
Australia,35,3609,0.97%,6.84
Bangladesh,32,4735,0.68%,5.99
Qatar,29,1099,2.64%,5.39
Kuwait,26,945,2.75%,4.99
Canada,24,13894,0.17%,5.73
Singapore,20,2142,0.93%,5.78
Oman,19,1134,1.68%,6.02
Germany,17,4560,0.37%,6.46
Netherlands,14,2751,0.51%,6.37
Nigeria,12,3569,0.34%,7.31
Ireland,12,2300,0.52%,7.29
Japan,10,3910,0.26%,5.9
Bahrain,10,506,1.98%,4.4
Zambia,8,208,3.85%,5.79
France,7,4202,0.17%,6.01
Uganda,7,416,1.68%,5.04
Romania,6,1174,0.51%,6.12
China,5,3357,0.15%,5.93
Sri Lanka,5,1930,0.26%,7.52
Russia,5,1428,0.35%,6.56
Ethiopia,5,1367,0.37%,4.96
Kyrgyzstan,5,241,2.07%,5.48
Indonesia,4,5130,0.08%,6.81
Philippines,4,3719,0.11%,8.11
Israel,4,782,0.51%,6.82
Kenya,4,724,0.55%,6.18
Sweden,4,657,0.61%,6.07
Norway,4,524,0.76%,6.18
Maldives,4,160,2.5%,6.14
Vietnam,3,6070,0.05%,8.21
Mexico,3,4770,0.06%,6.62
Tanzania,3,457,0.66%,5.96
Botswana,3,98,3.06%,4.77
Brazil,2,13148,0.02%,6.06
Spain,2,3808,0.05%,6.93
Italy,2,2910,0.07%,7.7
Hong Kong,2,2384,0.08%,6.45
Zimbabwe,2,1586,0.13%,9.19
Poland,2,1409,0.14%,6.42
South Africa,2,1146,0.17%,6.27
Switzerland,2,771,0.26%,6.49
New Zealand,2,542,0.37%,5.74
Kazakhstan,2,535,0.37%,5.74
Cambodia,2,378,0.53%,6.27
Unknown Region,2,258,0.78%,4.61
Georgia,2,258,0.78%,6.07
Afghanistan,2,201,1%,4.62
