Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship,57201,1334406,4.29%,4.58
https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship,21408,531985,4.02%,5.03
https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship,8057,556034,1.45%,5.32
https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal,3837,226452,1.69%,4.73
https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation,3697,210129,1.76%,5.51
https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship,3161,253656,1.25%,6.14
https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship,2804,138087,2.03%,5.08
https://www.indiascholarships.in/private-scholarships,2481,42510,5.84%,4.24
https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy,2070,333263,0.62%,5.37
https://www.indiascholarships.in/scholarships-in/odisha,1690,228037,0.74%,6.24
https://www.indiascholarships.in/scholarships/bitsat-scholarship,1430,245818,0.58%,3.71
https://www.indiascholarships.in/scholarships,1212,43044,2.82%,4.63
https://www.indiascholarships.in/scholarships-for/obc,1160,65838,1.76%,6.23
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha,1138,114086,1%,4.92
https://www.indiascholarships.in/scholarships-level/class-9-12,1093,28402,3.85%,4.12
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha,1049,106304,0.99%,4.84
https://www.indiascholarships.in/scholarships/tamil-nadu-post-matric-scholarship-for-scst,1046,54398,1.92%,6.46
https://www.indiascholarships.in/scholarships-in/tamil-nadu,1016,33372,3.04%,5.9
https://www.indiascholarships.in/scholarships/krishi-vidya-nidhi-yojana-odisha,964,69086,1.4%,4.03
https://www.indiascholarships.in/scholarships/tata-trusts-medical-and-healthcare-scholarship,949,28825,3.29%,4.66
https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support,883,163371,0.54%,6.17
https://www.indiascholarships.in/government-scholarships,847,104890,0.81%,5.33
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obc-students-karnataka,844,49134,1.72%,5.5
https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship,838,134825,0.62%,5.57
