Top queries,Clicks,Impressions,CTR,Position
pm yasasvi scholarship 2026,6175,30542,20.22%,1.66
sitaram jindal scholarship,5146,98168,5.24%,4.91
pm yashasvi scholarship apply online 2026,4723,26900,17.56%,1.81
pm yashasvi scholarship 2026,4479,22557,19.86%,1.58
pm yashasvi scholarship,4206,50273,8.37%,2.49
sitaram jindal foundation scholarship,3191,63668,5.01%,5.51
jindal scholarship 2026,2582,41968,6.15%,3.28
nabanna scholarship,2027,123656,1.64%,4.36
tata capital pankh scholarship,2025,108061,1.87%,5.25
pm yasasvi scholarship,1621,34270,4.73%,3.56
sitaram jindal scholarship apply online 2026,1607,13232,12.14%,3.13
post matric scholarship odisha,1482,79974,1.85%,4.08
jindal scholarship,1467,77497,1.89%,5.87
tata scholarship 2026,1158,74213,1.56%,5.92
pm yashasvi yojana 2026,987,5887,16.77%,2.36
pm yashasvi scholarship 2026 last date,902,6829,13.21%,1.77
sitaram jindal scholarship 2026,705,4836,14.58%,3.04
tata scholarship,640,46651,1.37%,6.65
yashasvi scholarship 2026,550,6945,7.92%,2.03
pm yashasvi scholarship 2026 last date to apply online,546,3547,15.39%,1.74
pm yasasvi scholarship 2026 last date,522,4240,12.31%,1.94
yashasvi scholarship,495,36196,1.37%,4.95
odisha state scholarship,477,44859,1.06%,5.97
private scholarship for ug students,440,3285,13.39%,1.84
lic golden jubilee scholarship 2026,385,7888,4.88%,3.45
lic scholarship 2026,385,7543,5.1%,3.26
obc scholarship 2026,378,8235,4.59%,4.23
tata pankh scholarship,373,19717,1.89%,6.01
mmvy,362,93364,0.39%,4.44
hdfc scholarship 2026,340,15071,2.26%,5.32
scholarship 2026,337,11280,2.99%,3.94
tata pankh scholarship 2026,322,17469,1.84%,5.79
jindal scholarship apply online 2026,288,5742,5.02%,2.94
pm yashasvi yojana,278,15876,1.75%,7.7
pm yashasvi scholarship apply online,269,3043,8.84%,1.44
sitaram jindal foundation scholarship 2026,267,2673,9.99%,1.98
jindal scholarship 2026 last date,255,6960,3.66%,3.7
tata capital pankh scholarship 2026,254,11244,2.26%,5.66
private scholarship,254,2601,9.77%,2.08
lic golden jubilee scholarship,251,13315,1.89%,5.52
scholarship odisha,239,24568,0.97%,5.74
medhavi scholarship mp 2026 last date,236,10648,2.22%,3.49
sitaram jindal scholarship 2026 last date,235,3969,5.92%,3.28
pm yashasvi yojana online apply 2026,231,1711,13.5%,2.63
nabanna scholarship 2026,211,3865,5.46%,4.05
nabanna scholarship 2026 last date,207,4447,4.65%,2.41
hdfc parivartan scholarship,206,24049,0.86%,7.29
kanya utthan yojana graduation,202,3748,5.39%,5.02
mmvy portal,191,14609,1.31%,3.36
pm yashasvi yojana 2026 last date,190,1659,11.45%,1.7
scholarship for 12th students by government 2026,185,9266,2%,6.63
pm yashasvi scholarship apply online 2026 last date,184,1706,10.79%,1.82
nabanna scholarship online apply,179,3059,5.85%,3.91
pm yashasvi scholarship yojana 2026,177,661,26.78%,1.65
