No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
1,scholarship,1220000,₹73.40,5,navigational,62
2,scholarships,1220000,₹53.39,3,,61
3,up scholarship up,4090000,₹61.96,1,navigational,30
4,up scholarship,4090000,₹49.10,1,,47
5,commonwealth scholarship commission,1220000,₹5.24,1,,42
6,state scholarship portal,823000,₹32.89,1,,42
7,n s p scholarship,673000,₹149.67,1,navigational,36
8,post matriculation scholarship,673000,₹41.47,1,,42
9,state scholarship,550000,₹85.80,1,,47
10,post matric scholarship,550000,₹44.81,1,,42
11,s s p scholarship,550000,₹0,1,"navigational, informational",39
12,scholarship nsp,550000,₹94.38,1,"navigational, commercial",22
13,scholarship by state,450000,₹176.36,1,navigational,62
14,ssp scholarships,450000,₹34.80,1,,47
15,digital gujarat scholarship,368000,₹26.69,1,,42
16,p m s scholarship,368000,₹76.26,1,"informational, navigational",23
17,scholarships up,301000,₹45.28,1,,47
18,digital india scholarship gujarat,301000,₹0,1,"informational, navigational",16
19,pms scholarship,301000,₹55.29,1,,47
20,portal scholarship,246000,₹186.85,1,navigational,62
21,swami vivekananda scholarship,201000,₹31.94,1,"commercial, navigational",42
22,national scholarship portal,201000,₹43.38,2,,45
23,portal national scholarship,201000,₹68.64,2,navigational,42
24,scholarship status in up,165000,₹0,1,informational,18
25,up scholarship 2024,165000,₹55.77,1,,42
26,ssp scholarship 2025 26,135000,₹0,1,commercial,28
27,s v m c m scholarship,110000,₹156.34,1,"commercial, navigational",12
28,up scholarship status,110000,₹0,1,,42
29,upsc scholarship 2024,110000,₹0,1,,42
30,prime minister scholarship,110000,₹26.69,1,,42
31,nsp scholarship 2024,110000,₹38.61,1,,42
32,nsp scholarship 2025,90500,₹78.17,1,commercial,18
33,scholarship status,90500,₹35.75,1,,45
34,status of scholarship,74000,₹65.78,1,navigational,55
35,upsc scholarship 2025,74000,₹61.01,1,"commercial, navigational",42
36,international scholarship for students,74000,₹241.19,28,"commercial, navigational",65
37,cg scholarship,74000,₹0,1,,40
38,odisha state scholarship,74000,₹24.79,1,,35
39,digital gujarat scholarship login,74000,₹0,1,,27
40,odisha state scholarship portal,74000,₹48.14,1,,27
41,ssp scholarship 2025,74000,₹61.01,1,"commercial, informational",19
42,international students scholarship,60500,₹224.03,1,"navigational, commercial",83
43,m y s y scholarship,60500,₹287.90,1,"commercial, navigational",26
44,scholarship up government in,60500,₹47.67,1,informational,28
45,scholarships gov in up,60500,₹55.29,1,navigational,74
46,up scholarship status 2025,60500,₹0,1,,23
47,ssp post matric scholarship,60500,₹0,1,,23
48,scholarship paper 2019,60500,₹0,1,informational,6
49,inspire scholarship,60500,₹34.32,1,,37
50,sbi scholarship 2025,60500,₹66.73,2,"commercial, navigational",19
51,h d f c scholarship,60500,₹54.34,2,informational,14
52,ssp pre matric scholarship,49500,₹122.98,1,,19
53,odisha scholarship portal,49500,₹0,1,,27
54,up scholarship government in,49500,₹142.04,1,"navigational, informational, commercial",41
55,scholarships 2024,49500,₹111.54,5,"navigational, informational",71
56,sbi asha scholarship 2025,49500,₹109.63,2,commercial,16
57,scholarship status check,49500,₹41.95,1,,27
58,post matric scholarship 2025,49500,₹82.94,1,"commercial, transactional",45
59,s s p post matric scholarship,49500,₹79.12,1,"navigational, informational",19
60,chief minister's special scholarship examination 2017 question paper,49500,₹0,1,"commercial, informational",15
61,reliance foundation scholarships,49500,₹81.98,14,informational,24
62,odisha post matric scholarship,49500,₹54.34,1,"commercial, informational",11
63,scholarship up gov in,49500,₹25.26,1,,19
64,scholarship gov in 2025,49500,₹61.96,1,"informational, navigational",67
65,scholarship government in,40500,₹73.40,2,"informational, navigational",70
66,scholarship govt in 2025,40500,₹30.03,1,,18
67,ssp scholarship status,40500,₹0,1,,25
68,scholarship status 2026,40500,₹48.62,1,"commercial, informational",22
69,state scholarship portal odisha,40500,₹0,1,,17
70,s b i scholarship,40500,₹111.54,2,"commercial, navigational",18
71,scholarship for odisha,40500,₹104.86,1,"commercial, informational",18
72,lic golden jubilee scholarship 2025,40500,₹58.15,1,commercial,19
73,punjab scholarship,40500,₹0,1,,30
74,n m m s scholarship,40500,₹148.72,2,"commercial, navigational",36
75,u p scholarship status check,40500,₹0,1,"navigational, informational",42
76,scholarship cg portal,40500,₹0,1,navigational,33
77,lic golden jubilee scholarship,40500,₹50.53,2,"commercial, navigational",34
78,cg post matric scholarship,40500,₹0,1,,17
79,hdfc parivartan scholarship,33100,₹13.82,1,,23
80,up scholarship 2025,33100,₹84.84,1,"commercial, informational",51
81,up scholarship login,33100,₹0,1,,22
82,als ias scholarship test question paper,33100,₹0,1,informational,13
83,odisha scholarship,33100,₹76.74,1,,27
84,lic in scholarship,33100,₹69.59,1,navigational,37
85,s r jindal scholarship,33100,₹91.52,3,informational,16
86,up scholarship status renewal,33100,₹0,1,,14
87,scholarship 2024,33100,₹61.01,1,,28
88,google scholarship citation,33100,₹236.42,1,"informational, navigational",48
89,made easy scholarship test previous year question papers,33100,₹0,1,"commercial, transactional",26
90,sbi asha scholarship,33100,₹85.80,1,"navigational, commercial",12
91,connect to work scholarship,27100,₹277.41,1,commercial,37
92,scholarship 2,27100,₹81.03,1,,26
93,sc st obc scholarship 2025 scheme,27100,₹56.24,2,"navigational, commercial",27
94,post matric scholarship cg,27100,₹0,1,,13
95,scholarship portal cg,27100,₹0,1,,21
96,bihar scholarship post matric,27100,₹253.58,1,informational,20
97,lic scholarship 2025,27100,₹179.22,1,commercial,20
98,hdfc scholarship,27100,₹25.74,1,,26
99,reliance foundation scholarship,27100,₹19.54,4,,23
100,ssp post matric scholarship 2024 25,27100,₹0,1,,13
101,scholarships government in,27100,₹23.83,3,,22
102,scholarships 2025,27100,₹34.32,5,,28
103,sita ram jindal scholarship,27100,₹113.44,2,"commercial, navigational",20
104,scholarship odisha,27100,₹73.88,1,,27
105,nsp scholarship 2025 last date,22200,₹61.01,1,"commercial, informational",41
106,scholarship mp portal,22200,₹20.50,1,,19
107,sc st obc scholarship 2025,22200,₹33.37,2,commercial,19
108,jindal scholarship 2025,22200,₹171.59,1,informational,17
109,pms scholarship 2025 26,22200,₹0,1,commercial,17
110,schools scholarship,22200,₹78.17,1,,25
111,up scholarship 2025 26,22200,₹69.59,1,commercial,51
112,up scholarship log in,22200,₹0,1,navigational,44
113,minority scholarship,22200,₹102,1,,25
114,10 scholarship 2025,22200,₹63.87,1,"informational, commercial",16
115,scholarships gov in 2025 26,22200,₹80.08,13,commercial,60
116,up scholarship otr,22200,₹65.78,1,"commercial, navigational",33
117,scholarship 2.0,22200,₹104.39,1,,25
118,w b minority scholarship,22200,₹0,1,informational,16
119,scholarship up last date,22200,₹0,1,,11
120,e kalyan scholarship,22200,₹37.18,1,,19
121,vivekananda scholarship,22200,₹41.47,1,,24
122,west bengal minority scholarship,22200,₹54.34,1,"commercial, navigational",32
123,japan mext scholarship,22200,₹67.68,9,informational,66
124,nsp scholarship portal,22200,₹39.56,1,,20
125,bihar post matric scholarship,22200,₹0,1,,11
126,sr jindal scholarship,22200,₹120.12,1,"commercial, informational, navigational",18
127,ssp scholarship 2026 27,22200,₹94.85,1,,11
128,allen scholarship test,18100,₹92.47,64,,38
129,scholarship 2.0 mp,18100,₹0,1,,18
130,scholarships minority,18100,₹63.87,1,,24
131,scholarship last date in up,18100,₹0,1,informational,27
132,post matric scholarship 2024 25,18100,₹0,1,,10
133,scholarship tata,18100,₹38.61,22,,30
134,nsp scholarship log in,18100,₹0,1,,10
135,post matric scholarship odisha last date,18100,₹0,1,informational,14
136,scholarship last date 2025,18100,₹90.56,1,"commercial, informational",63
137,nsp scholarship 2025 details,18100,₹144.90,1,"commercial, navigational",36
138,nsp scholarships last date,18100,₹34.80,1,,10
139,scholarship last date,18100,₹29.55,1,,18
140,scholarship jindal,18100,₹36.23,1,,24
141,mext scholarship of japan,18100,₹35.75,14,,15
142,pms scholarship status,18100,₹0,1,"informational, navigational",43
143,login scholarship,18100,₹24.31,1,,23
144,scholarship form,18100,₹26.22,6,,25
145,nsp scholarship 2025 26 last date,18100,₹29.55,1,"commercial, informational",25
146,govt scholarship in,18100,₹79.12,4,"commercial, navigational",78
147,doctor ambedkar scholarship portal,18100,₹23.83,1,navigational,15
148,nsp scholarship last date,18100,₹20.50,1,,10
149,https scholarships gov in,18100,₹30.03,7,,13
150,up scholarship sarkari results,14800,₹0,1,navigational,12
151,pw scholarship test 2025,14800,₹12.39,28,commercial,19
152,scholarship students,14800,₹108.20,39,,34
153,reliance scholarship,14800,₹56.72,1,,23
154,portal scholarship odisha,14800,₹81.03,1,"navigational, commercial",17
155,sitaram jindal scholarship,14800,₹67.68,2,"commercial, navigational, informational",19
156,nsp scholarship payment status 2025,14800,₹0,1,"commercial, informational",17
157,scholarship portal 2.0,14800,₹0,1,,17
158,bharti airtel scholarship,14800,₹42.90,10,"navigational, informational, commercial",29
159,mext japan scholarship,14800,₹64.82,10,"commercial, navigational",62
160,ssp scholarship 2024 25,14800,₹0,1,informational,38
161,up scholarship 2024 25,14800,₹0,1,,9
162,oasis scholarship status check,14800,₹0,1,,9
163,scholarship result 2025,14800,₹25.74,1,"informational, commercial",45
164,otr scholarship,14800,₹191.61,1,"navigational, commercial",38
165,scholarships for college students,14800,₹48.62,33,,19
166,last date of up scholarship,14800,₹63.87,1,"informational, commercial",47
167,scholarship status 2025,14800,₹81.51,1,,17
168,scholarship in mp,14800,₹35.27,1,navigational,28
169,jindal scholarships,14800,₹26.22,2,,23
170,ssp scholarship 2025 26 last date,14800,₹0,1,,9
171,nsp scholarship 2025 apply online,14800,₹63.87,1,"commercial, navigational",39
172,up scholarship renewal,14800,₹0,1,,17
173,post matric scholarship last date,14800,₹0,1,"commercial, informational",29
174,up scholarship last date 2024,14800,₹0,1,,9
175,up scholarship inc in,14800,₹0,1,,9
176,12 scholarship 2025,14800,₹54.34,2,,18
177,nsp scholarship status,14800,₹0,1,,17
178,scholarship minority,14800,₹69.11,1,,22
179,last date scholarship,14800,₹50.53,1,"commercial, navigational, informational",85
180,sbi platinum jubilee asha scholarship,14800,₹17.64,6,,11
181,scholarship login,14800,₹28.60,1,,23
182,scholarship last date 2024,14800,₹0,1,,10
183,www digital gujarat gov in scholarship,14800,₹74.36,1,"navigational, commercial",22
184,haryana scholarship,12100,₹60.06,3,"navigational, informational",24
185,up government scholarship,12100,₹0,1,navigational,38
186,azim premji scholarship apply online 2025,12100,₹63.87,7,commercial,25
187,national scholarship,12100,₹67.68,2,,22
188,ssp scholarship log in,12100,₹0,1,,8
189,german academic exchange service scholarship,12100,₹57.20,42,,21
190,ssp scholarship status check,12100,₹17.16,1,"navigational, commercial",47
191,up scholarship last date 2025,12100,₹0,1,"commercial, informational",35
192,last date for post matric scholarship,12100,₹121.07,1,"transactional, informational",33
193,ambedkar scholarship,12100,₹89.61,1,,21
194,gujarat scholarship,12100,₹45.76,1,navigational,26
