No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"west bengal scholarships","navigational","1,300","₹17.35","1","36"
2,"maharashtra scholarships",null,"5,400","₹37.60","2","20"
3,"andhra pradesh scholarships",null,"140","₹51.09","10","17"
4,"scholarship of west bengal","informational","9,900","₹66.51","1","16"
5,"maharashtra scholarship","informational","5,400","₹63.62","2","33"
6,"samaj kalyan scholarship maharashtra",null,"5,400","₹37.11","1","6"
7,"andhra state formation day","informational","3,600","₹0.00","1","39"
8,"west bengal state scholarship","navigational, informational","1,300","₹17.35","1","37"
9,"post matric scholarship maharashtra","informational, navigational","1,000","₹0.00","1","32"
10,"maharashtra government scholarships",null,"480","₹32.78","1","14"
11,"scholarship result 2026 maharashtra website",null,"390","₹0.00","1","5"
12,"west bengal commission for backward classes","informational, navigational","260","₹0.00","2","16"
13,"west bengal oasis scholarship","commercial, informational","260","₹0.00","2","13"
14,"west bengal student scholarship",null,"260","₹38.08","5","7"
15,"maharashtra scholarship exam 2024","commercial, navigational","260","₹339.32","14","25"
16,"scholarships in maharashtra",null,"260","₹45.79","11","17"
17,"maharashtra minority scholarship","informational","260","₹0.00","1","14"
18,"post matric scholarship andhra pradesh","commercial, navigational","260","₹0.00","1","21"
19,"west bengal sc scholarship",null,"210","₹0.00","1","5"
20,"class 11 scholarship west bengal 2025",null,"170","₹0.00","1","5"
21,"maharashtra state scholarship",null,"170","₹0.00","1","13"
22,"sitaram jindal scholarship west bengal",null,"140","₹29.88","2","6"
23,"andhra pradesh scholarship",null,"140","₹51.09","10","17"
24,"class 11 scholarship west bengal 2026",null,"110","₹19.28","3","6"
25,"west bengal obc scholarship",null,"110","₹0.00","1","5"
26,"west bengal vivekananda scholarship",null,"110","₹0.00","1","5"
27,"maharashtra government scholarship for studying abroad 2025",null,"90","₹34.70","13","9"
28,"maharashtra scholarship exam result",null,"90","₹0.00","1","5"
29,"maharashtra overseas scholarship",null,"90","₹66.03","2","14"
30,"class 10 scholarship west bengal 2025",null,"70","₹0.00","1","5"
31,"west bengal nabanna scholarship 2025",null,"70","₹0.00","1","5"
32,"west bengal nmms scholarship result 2025",null,"70","₹0.00","1","5"
33,"scholarship result 2026 maharashtra 4th",null,"70","₹0.00","1","5"
34,"maharashtra kamgar yojana scholarship",null,"70","₹0.00","1","5"
35,"maharashtra scholarship exam question papers 2018",null,"70","₹0.00","1","5"
36,"maharashtra scholarship online form",null,"70","₹0.00","2","6"
37,"maharashtra government scholarship for studying abroad 2026",null,"50","₹56.87","16","10"
38,"nsp scholarship maharashtra",null,"50","₹0.00","3","14"
39,"scholarship result 2026 maharashtra website link",null,"50","₹0.00","1","5"
40,"maharashtra bandhkam kamgar scholarship",null,"50","₹0.00","1","5"
41,"maharashtra board scholarship exam",null,"50","₹0.00","1","5"
42,"maharashtra scholarship gov in",null,"50","₹0.00","1","5"
43,"maharashtra state scholarship portal",null,"50","₹0.00","1","5"
44,"andhra pradesh epass scholarship status",null,"50","₹0.00","1","5"
45,"jindal scholarship west bengal",null,"40","₹0.00","2","6"
46,"west bengal minority scholarship status check",null,"40","₹0.00","1","5"
47,"maharashtra government scholarship for studying abroad",null,"40","₹0.00","4","7"
48,"jain minority scholarship maharashtra",null,"40","₹0.00","1","5"
49,"vjnt scholarship maharashtra",null,"40","₹0.00","1","13"
50,"maharashtra scholarship exam 2026 syllabus",null,"40","₹0.00","1","5"
51,"scholarship result 2026 maharashtra 4th class",null,"40","₹0.00","1","5"
52,"maharashtra state scholarship exam for class 5 2025",null,"40","₹0.00","1","5"
53,"maharashtra scholarship 4th standard",null,"40","₹0.00","1","5"
54,"maharashtra govt scholarship to study abroad",null,"40","₹52.54","12","9"
55,"maharashtra scholarship scheme",null,"40","₹0.00","1","14"
56,"maharashtra state scholarship exam for class 4",null,"40","₹0.00","1","5"
57,"maharashtra scholarship status",null,"40","₹0.00","1","13"
58,"scholarship maharashtra 8th standard question paper",null,"40","₹0.00","1","5"
59,"west bengal scholarship for students",null,"30","₹44.82","4","7"
60,"west bengal aikyashree scholarship",null,"30","₹0.00","1","5"
61,"west bengal all scholarship list",null,"30","₹0.00","1","5"
62,"pre matric scholarship west bengal last date",null,"30","₹0.00","1","5"
63,"west bengal nsp scholarship",null,"30","₹0.00","1","5"
64,"west bengal urdu academy scholarship form 2025",null,"30","₹0.00","1","5"
65,"class viii scholarship west bengal",null,"30","₹0.00","1","5"
66,"maharashtra scholarship exam 2026 result date",null,"30","₹0.00","1","5"
67,"maharashtra scholarship 2026",null,"30","₹0.00","1","14"
68,"maharashtra mahadbt scholarship portal login",null,"30","₹0.00","1","5"
69,"maharashtra scholarship exam date",null,"30","₹0.00","1","5"
70,"maharashtra government scholarship for 12th pass",null,"30","₹0.00","1","5"
71,"maharashtra state board scholarship 4th standard",null,"30","₹0.00","1","5"
72,"maharashtra scholarship exam date 2026",null,"30","₹0.00","1","5"
73,"maharashtra pilot training scholarship",null,"30","₹20.73","26","13"
74,"maharashtra scholarship merit list 2025",null,"30","₹0.00","1","5"
75,"maharashtra scholarship last date 2025",null,"30","₹0.00","1","5"
76,"class 5 scholarship west bengal",null,"20","₹0.00","1","5"
77,"west bengal class 8 scholarship exam",null,"20","₹0.00","2","6"
78,"wb minority scholarship last date",null,"20","₹0.00","1","5"
79,"br ambedkar scholarship west bengal",null,"20","₹0.00","1","5"
80,"biri card scholarship west bengal",null,"20","₹0.00","2","6"
81,"west bengal mobile scholarship date",null,"20","₹0.00","1","5"
82,"west bengal madhyamik scholarship",null,"20","₹0.00","1","5"
83,"west bengal merit scholarship",null,"20","₹0.00","3","6"
84,"west bengal new scholarship",null,"20","₹0.00","2","6"
85,"west bengal nmms scholarship result 2026",null,"20","₹0.00","1","5"
86,"west bengal svmcm scholarship",null,"20","₹0.00","1","5"
87,"maharashtra scholarship class 5",null,"20","₹0.00","1","5"
88,"nmms scholarship maharashtra apply online",null,"20","₹38.08","4","7"
89,"scholarship online net maharashtra",null,"20","₹0.00","3","6"
90,"maharashtra state board scholarship 7th standard",null,"20","₹0.00","1","5"
91,"maharashtra kamgar scholarship",null,"20","₹0.00","1","13"
92,"maharashtra scholarship 7th standard",null,"20","₹0.00","1","6"
93,"maharashtra scholarship book pdf",null,"20","₹0.00","1","5"
94,"maharashtra scholarship 2026 result",null,"20","₹0.00","1","5"
95,"scholarship result 2026 maharashtra std 7th",null,"20","₹0.00","1","5"
96,"maharashtra government scholarship portal",null,"20","₹0.00","1","5"
97,"dte maharashtra scholarship login",null,"20","₹0.00","1","5"
98,"maharashtra scholarship question papers for 8th std",null,"20","₹0.00","1","5"
99,"tfws scholarship maharashtra",null,"20","₹0.00","1","13"
100,"maharashtra government scholarship for abroad studies",null,"20","₹26.51","26","13"
101,"maharashtra dbt scholarship last date",null,"20","₹0.00","1","5"
102,"maharashtra scholarship official website",null,"20","₹0.00","1","6"
103,"maharashtra scholarship result date 2026",null,"20","₹0.00","1","5"
104,"maharashtra scholarship omr sheet pdf",null,"20","₹0.00","1","5"
105,"swadhar yojana scholarship maharashtra last date",null,"20","₹0.00","1","5"
106,"maharashtra scholarship book",null,"20","₹0.00","11","17"
107,"maharashtra 5th scholarship question papers",null,"20","₹0.00","1","5"
108,"maharashtra government scholarship for open category",null,"20","₹0.00","1","5"
109,"nt scholarship maharashtra",null,"20","₹0.00","1","13"
110,"maharashtra government scholarship exam",null,"20","₹0.00","1","5"
111,"maharashtra government scholarship for higher education",null,"20","₹0.00","1","5"
112,"maharashtra scholarship 8th standard",null,"20","₹0.00","1","5"
113,"maharashtra scholarship 5th and 8th",null,"20","₹0.00","1","5"
114,"scholarship maharashtra documents required",null,"20","₹0.00","1","5"
115,"maharashtra scholarship previous year question paper",null,"20","₹0.00","1","5"
116,"maharashtra scholarship yojana 2025",null,"20","₹0.00","1","5"
117,"ap scholarship last date",null,"20","₹0.00","5","7"
118,"pratibha scholarship andhra pradesh",null,"20","₹0.00","1","5"
119,"west bengal scholarship last date",null,"10","₹0.00","1","5"
120,"west bengal scholarship 2023",null,"10","₹0.00","1","5"
121,"west bengal student scholarship 2026",null,"10","₹40.01","6","7"
122,"west bengal student scholarship 2025",null,"10","₹0.00","1","5"
123,"west bengal scholarship result 2025",null,"10","₹0.00","1","5"
124,"west bengal minority scholarship last date",null,"10","₹0.00","1","5"
125,"west bengal class 4 scholarship exam",null,"10","₹0.00","1","5"
126,"west bengal scholarship 2024 last date",null,"10","₹0.00","1","5"
127,"class 6 scholarship west bengal",null,"10","₹0.00","1","5"
128,"west bengal scholarship com",null,"10","₹0.00","1","5"
129,"west bengal scholarship exam",null,"10","₹0.00","1","5"
130,"class 9 scholarship 2023 west bengal",null,"10","₹0.00","1","5"
131,"west bengal scholarship after hs",null,"10","₹0.00","7","8"
132,"west bengal all scholarship",null,"10","₹0.00","5","7"
133,"west bengal nmms scholarship application form",null,"10","₹0.00","1","5"
134,"west bengal minority scholarship amount",null,"10","₹0.00","1","5"
135,"west bengal oasis scholarship amount",null,"10","₹0.00","1","5"
136,"west bengal b ed scholarship",null,"10","₹0.00","1","5"
137,"scholarship by west bengal government",null,"10","₹0.00","1","5"
138,"west bengal cm scholarship",null,"10","₹0.00","2","6"
139,"west bengal caste scholarship",null,"10","₹0.00","1","5"
140,"west bengal welfare department scholarship",null,"10","₹0.00","1","5"
141,"west bengal education scholarship",null,"10","₹0.00","2","6"
142,"west bengal nmms scholarship exam",null,"10","₹0.00","1","5"
143,"west bengal primary education scholarship examination",null,"10","₹0.00","1","5"
144,"west bengal scholarship gov in",null,"10","₹0.00","1","5"
145,"west bengal government scholarship for higher education",null,"10","₹0.00","1","5"
146,"west bengal government scholarship for students",null,"10","₹0.00","1","5"
147,"west bengal government scholarship scheme",null,"10","₹0.00","1","5"
148,"west bengal higher secondary scholarship",null,"10","₹0.00","1","5"
149,"sitaram jindal scholarship west bengal 2025",null,"10","₹0.00","1","5"
150,"west bengal scholarship list",null,"10","₹0.00","1","5"
151,"west bengal mobile scholarship",null,"10","₹0.00","1","5"
152,"west bengal medhashree scholarship",null,"10","₹0.00","1","5"
153,"west bengal minority scholarship renewal",null,"10","₹0.00","1","5"
154,"west bengal national scholarship portal",null,"10","₹0.00","1","5"
155,"west bengal phd scholarship",null,"10","₹0.00","1","5"
156,"west bengal private scholarship",null,"10","₹0.00","6","7"
157,"west bengal state scholarship portal",null,"10","₹0.00","1","5"
158,"west bengal scholarship result",null,"10","₹0.00","1","5"
159,"west bengal sikshashree scholarship",null,"10","₹0.00","1","6"
160,"tab scholarship west bengal 2024",null,"10","₹0.00","1","5"
161,"west bengal urdu academy scholarship",null,"10","₹0.00","1","5"
162,"west bengal swami vivekananda scholarship 2025 last date",null,"10","₹0.00","1","5"
163,"vidyasagar scholarship west bengal",null,"10","₹0.00","1","5"
164,"class x scholarship west bengal",null,"10","₹0.00","1","5"
165,"west bengal scholarship examination",null,"10","₹0.00","1","5"
166,"vivekananda scholarship west bengal government",null,"10","₹0.00","1","5"
167,"maharashtra 8th scholarship books pdf",null,"10","₹0.00","1","5"
168,"obc hostel scholarship maharashtra",null,"10","₹0.00","1","5"
