No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"diploma scholarships","commercial, navigational","880","₹118.57","30","26"
2,"diploma scholarship","commercial, navigational","880","₹115.68","20","50"
3,"degree scholarships 2025",null,"720","₹111.82","37","25"
4,"diploma students scholarships",null,"720","₹46.27","19","19"
5,"diploma scholarship odisha","informational","320","₹0.00","1","15"
6,"degree scholarships 2026",null,"210","₹64.59","50","29"
7,"diploma scholarship amount",null,"170","₹0.00","1","14"
8,"diploma 1st year scholarship amount",null,"140","₹0.00","1","6"
9,"diploma ssp scholarship last date 2025",null,"110","₹0.00","1","5"
10,"diploma scholarship maharashtra",null,"110","₹0.00","1","13"
11,"diploma scholarship last date 2025",null,"90","₹0.00","1","6"
12,"scholarships certificate template",null,"90","₹0.00","1","13"
13,"diploma scholarship apply online",null,"90","₹47.72","36","16"
14,"diploma 3 year courses",null,"70","₹49.64","22","12"
15,"diploma ssp scholarship",null,"70","₹0.00","1","13"
16,"diploma me scholarship kitna milta hai",null,"70","₹0.00","1","5"
17,"diploma scholarship odisha last date",null,"70","₹0.00","1","5"
18,"diploma scholarship gujarat",null,"50","₹0.00","3","14"
19,"diploma scholarship in karnataka",null,"50","₹59.28","14","10"
20,"diploma scholarship form",null,"50","₹26.51","12","17"
21,"degree completion scholarships",null,"50","₹68.92","36","24"
22,"diploma scholarship 2025 last date",null,"50","₹0.00","1","5"
23,"diploma scholarship amount in odisha",null,"50","₹0.00","1","5"
24,"diploma scholarship 2025 karnataka",null,"40","₹0.00","1","5"
25,"diploma scholarship apply online karnataka",null,"40","₹36.15","25","13"
26,"rgpv diploma scholarship portal",null,"40","₹0.00","2","6"
27,"diploma student scholarship 2025",null,"40","₹0.00","43","18"
28,"diploma post matric scholarship amount",null,"40","₹0.00","1","5"
29,"diploma 1st year scholarship last date",null,"30","₹0.00","1","5"
30,"scholarship for diploma engineering students",null,"30","₹56.39","14","10"
31,"diploma ssp scholarship last date",null,"30","₹0.00","1","5"
32,"diploma scholarship last date 2026",null,"30","₹40.97","6","7"
33,"diploma scholarship bihar",null,"30","₹0.00","2","14"
34,"diploma scholarship status",null,"30","₹0.00","1","13"
35,"diploma scholarship portal",null,"30","₹0.00","4","15"
36,"diploma scholarship kitna milta hai",null,"30","₹0.00","1","5"
37,"diploma 1st year scholarship",null,"20","₹122.43","13","9"
38,"diploma engineering scholarship",null,"20","₹89.17","19","19"
39,"diploma scholarship kab aayegi",null,"20","₹0.00","1","5"
40,"diploma scholarship renewal last date",null,"20","₹0.00","1","5"
41,"diploma scholarship status check",null,"20","₹0.00","1","5"
42,"diploma scholarship odisha 2025",null,"20","₹0.00","1","5"
43,"diploma scholarship documents",null,"20","₹0.00","1","13"
44,"diploma scholarship 2025 date",null,"20","₹0.00","1","5"
45,"diploma students scholarship amount",null,"20","₹0.00","5","7"
46,"diploma scholarship date 2025",null,"20","₹0.00","1","5"
47,"diploma scholarship telangana",null,"20","₹0.00","1","14"
48,"which university give full free scholarship",null,"20","₹53.02","27","14"
49,"diploma engineering scholarship 2025",null,"10","₹0.00","1","5"
50,"diploma scholarship in india",null,"10","₹0.00","1","5"
51,"diploma ssp scholarship last date 2026",null,"10","₹0.00","1","5"
52,"can you apply for scholarships in university",null,"10","₹0.00","14","10"
53,"can you get a scholarship in university",null,"10","₹0.00","21","12"
54,"diploma wale scholarship kaise bhare",null,"10","₹0.00","1","5"
55,"diploma scholarship in germany",null,"10","₹0.00","1","5"
56,"diploma scholarship form last date 2025",null,"10","₹0.00","1","5"
57,"diploma complete scholarship",null,"10","₹34.22","34","24"
58,"can you get a scholarship for grades",null,"10","₹0.00","1","5"
59,"bandhkam kamgar diploma scholarship",null,"10","₹0.00","1","5"
60,"diploma scholarship 2025 26",null,"10","₹0.00","1","5"
61,"diploma scholarship in japan",null,"10","₹0.00","1","5"
62,"diploma scholarship canada",null,"10","₹0.00","1","13"
63,"diploma scholarship 2023",null,"10","₹0.00","1","13"
64,"oxford executive diploma scholarship for women",null,"10","₹0.00","33","15"
65,"diploma scholarship jharkhand",null,"10","₹0.00","1","13"
66,"diploma scholarship singapore",null,"10","₹0.00","1","13"
67,"diploma scholarship kab tak aayega",null,"10","₹0.00","1","5"
68,"diploma scholarship program",null,"10","₹0.00","1","13"
69,"diploma scholarship maharashtra last date",null,"10","₹0.00","1","5"
70,"diploma polytechnic scholarship",null,"10","₹0.00","2","14"
71,"diploma scholarship form documents",null,"10","₹0.00","1","5"
72,"diploma ssp scholarship amount",null,"10","₹0.00","1","5"
73,"diploma scholarship 2026 last date",null,"10","₹0.00","3","6"
74,"diploma classified scholarship",null,"10","₹0.00","1","13"
75,"diploma scholarship apply last date",null,"10","₹0.00","28","14"
76,"diploma scholarship gujarat last date",null,"10","₹0.00","1","5"
77,"diploma me scholarship form kaise bhare",null,"10","₹0.00","1","5"
78,"diploma scholarship login",null,"10","₹0.00","1","13"
79,"degree scholarships abroad",null,"0","₹0.00","1","12"
80,"diploma scholarships in europe",null,"0","₹0.00","1","4"
81,"diploma engineering bursaries",null,"0","₹0.00","1","12"
82,"degree scholarships to study abroad",null,"0","₹0.00","1","4"
83,"diploma scholarship correction date",null,"0","₹0.00","1","4"
84,"diploma kalia scholarship",null,"0","₹0.00","1","12"
85,"diploma classified scholarship result report 2082",null,"0","₹0.00","1","4"
86,"diploma scholarship tarumt",null,"0","₹0.00","1","12"
87,"diploma scholarship amount 2024",null,"0","₹0.00","1","4"
