No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"tamil nadu scholarships",null,"10","₹0.00","14","18"
2,"gujarat scholarships",null,"9,900","₹38.08","1","21"
3,"tn scholarships","informational","880","₹43.86","1","37"
4,"digital gujarat scholarships",null,"301,000","₹28.92","1","42"
5,"digital gujarat scholarship login",null,"74,000","₹0.00","1","27"
6,"digital gujarat scholarship 2025","informational","6,600","₹0.00","1","17"
7,"digital gujarat scholarship last date","informational, navigational","5,400","₹0.00","1","17"
8,"digital gujarat scholarship form","navigational","2,900","₹0.00","1","20"
9,"digital gujarat scholarship login 2025","navigational, commercial","1,000","₹0.00","1","19"
10,"digital gujarat scholarship 2024 25",null,"1,000","₹0.00","1","5"
11,"digital gujarat scholarship last date 2025","informational","880","₹0.00","1","17"
12,"digital gujarat scholarship helpline number","informational, navigational","590","₹0.00","1","16"
13,"digital gujarat scholarship registration","navigational, commercial","590","₹0.00","1","18"
14,"gujarat state scholarship portal","navigational, informational","480","₹94.47","1","22"
15,"gujarat government scholarships",null,"480","₹0.00","1","14"
16,"digital gujarat scholarship amount","informational","390","₹0.00","1","19"
17,"digital gujarat scholarship 2025 26 last date","commercial, informational","320","₹0.00","1","18"
18,"digital gujarat scholarship 2024","informational","320","₹0.00","1","31"
19,"tn state scholarship portal",null,"320","₹0.00","1","5"
20,"how much scholarship can i get from up scholarship","informational","260","₹0.00","1","24"
21,"digital gujarat scholarship 2025 last date to apply","commercial","260","₹0.00","1","22"
22,"www digital gujarat scholarship","navigational, commercial","260","₹0.00","1","20"
23,"digital gujarat scholarship login 2025 26",null,"260","₹0.00","1","5"
24,"gujarat digital scholarship portal",null,"260","₹0.00","1","5"
25,"digital gujarat scholarship required documents",null,"260","₹0.00","1","5"
26,"digital gujarat scholarship 2026",null,"210","₹0.00","1","5"
27,"digital gujarat scholarship login last date",null,"210","₹0.00","1","5"
28,"how much scholarship can i get from post matric scholarship",null,"170","₹0.00","1","5"
29,"tamil nadu state scholarship portal",null,"170","₹38.08","1","6"
30,"digital gujarat scholarship eligibility",null,"170","₹0.00","1","5"
31,"pm yashasvi scholarship gujarat",null,"170","₹0.00","1","6"
32,"tamil nadu phd scholarship",null,"140","₹28.92","3","6"
33,"digital gujarat scholarship login 2026",null,"140","₹0.00","1","5"
34,"digital gujarat scholarship citizen login",null,"140","₹0.00","1","5"
35,"digital gujarat scholarship renewal",null,"140","₹0.00","1","5"
36,"scholarships tn gov in",null,"140","₹40.97","2","6"
37,"tamil nadu overseas scholarship",null,"110","₹78.56","50","21"
38,"digital gujarat scholarship 2025 26 start date",null,"110","₹0.00","1","5"
39,"digital gujarat scholarship 2025 last date",null,"110","₹0.00","1","5"
40,"digital gujarat scholarship criteria",null,"110","₹0.00","1","5"
41,"digital gujarat scholarship kab aayegi",null,"110","₹0.00","1","5"
42,"digital gujarat scholarship income limit",null,"90","₹0.00","1","5"
43,"digital gujarat scholarship 2022 23",null,"90","₹0.00","1","5"
44,"digital gujarat scholarship iti",null,"90","₹0.00","1","5"
45,"digital gujarat scholarship contact number",null,"90","₹0.00","1","5"
46,"last date for digital gujarat scholarship",null,"90","₹0.00","1","5"
47,"digital gujarat scholarship apply",null,"90","₹0.00","1","5"
48,"digital gujarat scholarship helpline number whatsapp number",null,"70","₹0.00","1","5"
