No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"oasis scholarship",null,"135,000","₹24.58","1","47"
2,"aikyashree",null,"301,000","₹53.50","1","60"
3,"wbmdfc aikyashree scholarship 2025 26",null,"1,000","₹0.00","1","5"
4,"www wbkanyashree gov in",null,"720","₹0.00","1","5"
5,"aikyashree scholarship eligibility","informational","480","₹0.00","1","10"
6,"aikyashree helpline number","informational, navigational","480","₹0.00","1","12"
7,"aikyashree portal login","navigational, informational","480","₹0.00","1","16"
8,"aikyashree last date 2025",null,"390","₹0.00","1","5"
9,"aikyashree scholarship status","navigational, informational","320","₹0.00","1","18"
10,"aikyashree scholarship track","navigational, informational","320","₹0.00","1","14"
11,"aikyashree renewal","informational, navigational","320","₹0.00","1","33"
12,"aikyashree track","commercial, informational, transactional","320","₹0.00","1","16"
13,"oasis scholarship check","informational","260","₹0.00","1","17"
14,"oasis scholarship eligibility","informational","260","₹0.00","1","13"
15,"oasis scholarship amount for obc students","informational","260","₹0.00","1","17"
16,"oasis scholarship amount for sc students","commercial","260","₹0.00","1","12"
17,"oasis scholarship documents","commercial, navigational","260","₹0.00","1","13"
18,"oasis scholarship helpline number","navigational, informational, commercial","260","₹0.00","1","8"
19,"obc scholarship helpline number","informational","260","₹0.00","1","18"
20,"obc scholarship in karnataka","commercial, informational, navigational","260","₹496.45","1","15"
21,"oasis scholarship renewal","navigational, commercial","260","₹0.00","1","12"
22,"oasis scholarship status check west bengal","commercial, navigational","260","₹0.00","1","7"
23,"obc scholarship up","commercial, navigational","260","₹0.00","1","18"
24,"oasis scholarship wb","informational","260","₹0.00","1","8"
25,"aikyashree scholarship 2026",null,"260","₹54.46","1","13"
26,"aikyashree scholarship helpline number","informational, navigational","260","₹0.00","1","10"
27,"aikyashree form","informational","260","₹0.00","1","18"
28,"aikyashree form fill up","informational, commercial","260","₹0.00","1","11"
29,"aikyashree last date","informational, commercial","260","₹0.00","1","13"
30,"aikyashree login west bengal","informational, navigational","260","₹0.00","1","13"
31,"oasis scholarship last date 2025 west bengal",null,"210","₹0.00","1","5"
32,"oasis scholarship status check 2026",null,"210","₹0.00","1","5"
33,"aikyashree app",null,"210","₹0.00","1","18"
34,"oasis scholarship form fill up",null,"170","₹0.00","1","5"
35,"obc scholarship gujarat",null,"170","₹0.00","1","14"
36,"aikyashree minority scholarship",null,"170","₹0.00","1","13"
37,"aikyashree scholarship online",null,"170","₹0.00","1","13"
38,"aikyashree official website",null,"140","₹0.00","1","13"
39,"oasis scholarship amount for class 11",null,"110","₹0.00","1","5"
40,"aikyashree scholarship status check 2026",null,"110","₹0.00","1","5"
41,"aikyashree 2025",null,"110","₹0.00","1","18"
42,"aikyashree apply",null,"110","₹0.00","1","18"
43,"oasis scholarship eligibility 2025",null,"90","₹0.00","1","5"
44,"oasis scholarship form pdf",null,"90","₹0.00","1","5"
45,"obc scholarship income limit",null,"90","₹0.00","1","5"
46,"obc scholarship tripura",null,"90","₹0.00","1","13"
47,"oasis scholarship gov in",null,"90","₹0.00","1","5"
48,"oasis scholarship official website",null,"90","₹0.00","1","5"
49,"oasis scholarship track",null,"90","₹0.00","1","13"
50,"oasis scholarship status check 2022 23",null,"90","₹0.00","1","5"
51,"oasis scholarship check status",null,"90","₹0.00","1","5"
52,"aikyashree 2025 last date",null,"90","₹0.00","1","5"
53,"aikyashree amount",null,"90","₹0.00","1","18"
54,"aikyashree renewal last date 2025",null,"90","₹0.00","1","5"
55,"aikyashree track application status check",null,"90","₹0.00","1","5"
56,"aikyashree toll free number",null,"90","₹0.00","1","5"
57,"aikyashree profile update",null,"90","₹0.00","1","13"
58,"aikyashree website",null,"90","₹0.00","1","18"
59,"oasis scholarship documents required",null,"70","₹0.00","1","5"
60,"oasis scholarship form",null,"70","₹0.00","1","13"
61,"obc scholarship jharkhand",null,"70","₹0.00","1","13"
62,"oasis scholarship website",null,"70","₹0.00","1","13"
63,"oasis scholarship income limit",null,"70","₹0.00","1","5"
64,"oasis scholarship criteria",null,"70","₹0.00","1","13"
65,"oasis scholarship required documents",null,"70","₹0.00","1","5"
66,"oasis scholarship new rules 2026",null,"70","₹0.00","1","5"
67,"aikyashree 2024 25",null,"70","₹0.00","1","13"
68,"aikyashree application status",null,"70","₹0.00","1","13"
69,"aikyashree eligibility",null,"70","₹0.00","1","18"
70,"aikyashree from",null,"70","₹0.00","1","18"
71,"aikyashree fresh application",null,"70","₹0.00","1","13"
72,"aikyashree scholarship online application",null,"70","₹0.00","1","5"
73,"aikyashree scholarship official website",null,"70","₹0.00","1","5"
74,"last date of aikyashree scholarship",null,"70","₹0.00","1","5"
75,"aikyashree swami vivekananda scholarship",null,"70","₹0.00","1","5"
76,"oasis scholarship obc students",null,"50","₹0.00","1","5"
77,"oasis scholarship income certificate",null,"50","₹0.00","1","5"
78,"oasis scholarship renewal last date 2025",null,"50","₹0.00","1","5"
79,"oasis scholarship meaning in bengali",null,"50","₹0.00","1","5"
80,"aikyashree connect",null,"50","₹0.00","1","18"
81,"aikyashree check",null,"50","₹0.00","1","18"
82,"aikyashree documents required",null,"50","₹0.00","1","13"
83,"aikyashree year gap certificate",null,"50","₹0.00","1","5"
84,"aikyashree in bengali",null,"50","₹0.00","1","13"
85,"aikyashree income certificate",null,"50","₹0.00","1","13"
86,"aikyashree institute profile update",null,"50","₹0.00","1","5"
87,"aikyashree new application",null,"50","₹0.00","1","13"
88,"aikyashree office",null,"50","₹0.00","1","18"
89,"aikyashree scholarship contact number",null,"50","₹0.00","1","5"
90,"aikyashree swami vivekananda scholarship status check",null,"50","₹0.00","1","5"
91,"oasis scholarship date",null,"40","₹0.00","1","13"
92,"oasis scholarship date 2025",null,"40","₹0.00","1","5"
93,"oasis scholarship money amount",null,"40","₹0.00","1","5"
94,"oasis scholarship percentage",null,"40","₹0.00","1","13"
95,"oasis scholarship renewal last date",null,"40","₹0.00","1","5"
96,"obc scholarship yojana 2025",null,"40","₹25.06","7","8"
97,"oasis scholarship ki",null,"40","₹0.00","1","13"
98,"oasis.gov.in scholarship last date",null,"40","₹0.00","1","5"
99,"aikyashree wbmdfc",null,"40","₹0.00","1","18"
100,"aikyashree contact number",null,"40","₹0.00","1","13"
101,"aikyashree form pdf",null,"40","₹0.00","1","13"
102,"aikyashree gov in",null,"40","₹0.00","1","13"
103,"aikyashree gap certificate",null,"40","₹0.00","1","13"
104,"aikyashree helpline number west bengal",null,"40","₹0.00","1","5"
105,"aikyashree login 2025",null,"40","₹0.00","1","13"
106,"aikyashree last date 2025 west bengal",null,"40","₹0.00","1","5"
107,"aikyashree scholarship online apply",null,"40","₹0.00","1","5"
108,"aikyashree renewal last date",null,"40","₹0.00","1","5"
109,"aikyashree tsp scholarship amount",null,"40","₹0.00","1","5"
110,"aikyashree online apply",null,"40","₹0.00","1","13"
111,"aikyashree renewal last date 2026",null,"40","₹0.00","1","5"
112,"oasis scholarship amount class 12",null,"30","₹0.00","1","5"
113,"oasis scholarship contact number",null,"30","₹0.00","1","5"
114,"oasis scholarship eligibility criteria pdf",null,"30","₹0.00","1","5"
115,"obc scholarship gujarat last date",null,"30","₹0.00","1","5"
116,"obc scholarship goa",null,"30","₹0.00","1","13"
117,"oasis scholarship helpline number west bengal",null,"30","₹0.00","1","5"
118,"oasis scholarship online apply",null,"30","₹0.00","1","5"
119,"obc scholarship odisha",null,"30","₹0.00","1","13"
120,"obc scholarship office bhopal",null,"30","₹0.00","3","6"
121,"obc overseas scholarship",null,"30","₹47.72","17","19"
122,"oasis scholarship renewal documents",null,"30","₹0.00","1","5"
123,"obc scholarship tripura last date",null,"30","₹0.00","1","5"
124,"oasis scholarship income certificate format",null,"30","₹0.00","1","5"
125,"oasis scholarship last date 2026 27",null,"30","₹0.00","1","5"
126,"oasis scholarship 2025 status check",null,"30","₹0.00","1","5"
127,"oasis scholarship bengali meaning",null,"30","₹0.00","1","5"
128,"oasis scholarship details",null,"30","₹0.00","1","13"
129,"oasis scholarship date 2025 26",null,"30","₹0.00","1","5"
130,"oasis scholarship class 9",null,"30","₹0.00","1","5"
131,"aikyashree amount 2025",null,"30","₹0.00","1","13"
132,"aikyashree customer care number",null,"30","₹0.00","1","5"
133,"aikyashree contact",null,"30","₹0.00","1","18"
134,"aikyashree form download",null,"30","₹0.00","1","13"
135,"aikyashree scholarship eligibility for ug students",null,"30","₹0.00","1","5"
136,"aikyashree scholarship year gap certificate",null,"30","₹0.00","1","5"
137,"aikyashree helpline",null,"30","₹0.00","1","18"
138,"aikyashree income certificate format",null,"30","₹0.00","1","5"
139,"aikyashree mcm scholarship amount",null,"30","₹0.00","1","5"
140,"aikyashree mcm scholarship",null,"30","₹0.00","1","13"
141,"aikyashree prokolpo in bengali",null,"30","₹0.00","1","5"
142,"aikyashree renewal documents required",null,"30","₹0.00","1","5"
143,"aikyashree registration",null,"30","₹0.00","1","18"
144,"aikyashree track status",null,"30","₹0.00","1","13"
145,"aikyashree scholarship update",null,"30","₹0.00","1","13"
146,"aikyashree renewal last date 2025 26",null,"30","₹0.00","1","5"
147,"oasis scholarship class 11",null,"20","₹0.00","1","5"
148,"oasis scholarship for general category students",null,"20","₹0.00","1","5"
149,"oasis scholarship for diploma students",null,"20","₹0.00","1","5"
150,"oasis scholarship application status check",null,"20","₹0.00","1","5"
151,"oasis scholarship biometric",null,"20","₹0.00","1","13"
152,"oasis scholarship customer care number",null,"20","₹0.00","1","5"
153,"oasis scholarship er taka kobe dhukbe",null,"20","₹0.00","1","5"
154,"oasis scholarship in west bengal",null,"20","₹0.00","1","5"
155,"oasis scholarship institute login",null,"20","₹0.00","1","5"
156,"oasis scholarship marks percentage",null,"20","₹0.00","1","5"
157,"oasis scholarship notification",null,"20","₹0.00","1","13"
158,"oasis scholarship office address",null,"20","₹0.00","1","5"
159,"oasis scholarship obc amount",null,"20","₹0.00","1","5"
160,"obc scholarship online apply",null,"20","₹0.00","6","7"
161,"obc overseas scholarship kerala",null,"20","₹0.00","6","7"
162,"oasis scholarship percentage required",null,"20","₹0.00","1","5"
163,"oasis scholarship pre matric",null,"20","₹0.00","1","5"
164,"oasis scholarship requirements",null,"20","₹0.00","1","13"
165,"oasis scholarship renewal last date 2025 west bengal",null,"20","₹0.00","1","5"
166,"oasis scholarship toll free number",null,"20","₹0.00","1","5"
167,"oasis scholarship update",null,"20","₹0.00","1","13"
168,"scholarship vs stipend",null,"20","₹0.00","1","13"
169,"obc scholarship yojana",null,"20","₹0.00","1","13"
170,"oasis scholarship documents in bengali",null,"20","₹0.00","1","5"
171,"oasis scholarship apply last date",null,"20","₹0.00","1","5"
172,"oasis scholarship obc",null,"20","₹0.00","1","13"
173,"oasis scholarship details in bengali",null,"20","₹0.00","1","5"
174,"oasis scholarship in bengali",null,"20","₹0.00","1","5"
175,"oasis scholarship pg amount",null,"20","₹0.00","1","5"
176,"aikyashree scholarship class 11",null,"20","₹0.00","1","5"
177,"how do i check my aikyashree scholarship status",null,"20","₹0.00","1","5"
178,"aikyashree apply online",null,"20","₹0.00","1","13"
179,"aikyashree application last date",null,"20","₹0.00","1","5"
180,"aikyashree bonafide certificate",null,"20","₹0.00","1","13"
181,"aikyashree west bengal",null,"20","₹0.00","1","13"
182,"aikyashree check status",null,"20","₹0.00","1","13"
183,"aikyashree criteria",null,"20","₹0.00","1","18"
184,"does aikyashree scholarship still exist",null,"20","₹0.00","1","5"
185,"aikyashree scholarship email id",null,"20","₹0.00","1","5"
186,"aikyashree form download pdf",null,"20","₹0.00","1","5"
187,"aikyashree fresh",null,"20","₹0.00","1","18"
188,"aikyashree form last date",null,"20","₹0.00","1","5"
189,"aikyashree scholarship gap certificate",null,"20","₹0.00","1","5"
190,"aikyashree institute verification form",null,"20","₹0.00","1","5"
191,"aikyashree institute verification form pdf",null,"20","₹0.00","1","5"
192,"aikyashree income limit",null,"20","₹0.00","1","13"
193,"aikyashree scholarship ki",null,"20","₹0.00","1","13"
194,"aikyashree last date extended",null,"20","₹0.00","1","5"
195,"aikyashree meaning",null,"20","₹0.00","1","18"
196,"aikyashree money amount",null,"20","₹0.00","1","13"
197,"aikyashree payment status",null,"20","₹0.00","1","13"
198,"aikyashree payment status check",null,"20","₹0.00","1","5"
199,"aikyashree renewal status check",null,"20","₹0.00","1","5"
200,"aikyashree renewal 2025",null,"20","₹0.00","1","13"
201,"aikyashree renewal 2023 24",null,"20","₹0.00","1","5"
202,"aikyashree renewal last date 2024 25",null,"20","₹0.00","1","5"
203,"aikyashree portal update",null,"20","₹0.00","1","13"
204,"aikyashree swami vivekananda scholarship last date",null,"20","₹0.00","1","5"
205,"aikyashree wb",null,"20","₹0.00","1","18"
206,"aykroyd formula 7th pay commission",null,"20","₹0.00","1","5"
207,"oasis scholarship 2026",null,"10","₹0.00","1","13"
208,"oasis scholarship 60",null,"10","₹0.00","1","13"
209,"oasis scholarship class 11 amount",null,"10","₹0.00","1","5"
210,"oasis scholarship class 10",null,"10","₹0.00","1","5"
211,"obc 100 scholarship",null,"10","₹0.00","1","13"
212,"oasis scholarship for iti students",null,"10","₹0.00","1","5"
213,"oasis scholarship for ug students",null,"10","₹0.00","1","5"
214,"oasis cruise ship size",null,"10","₹0.00","1","5"
215,"oasis scholarship b ed amount",null,"10","₹0.00","1","5"
216,"oasis scholarship balance check",null,"10","₹0.00","1","5"
217,"oasis scholarship bdo verification",null,"10","₹0.00","1","5"
218,"oasis scholarship disbursement date",null,"10","₹0.00","1","5"
219,"oasis scholarship edit",null,"10","₹0.00","1","13"
220,"oasis government scholarship",null,"10","₹0.00","1","13"
221,"oasis scholarship how to apply",null,"10","₹0.00","1","5"
222,"oasis scholarship iti amount",null,"10","₹0.00","1","5"
223,"oasis scholarship ki ki lage",null,"10","₹0.00","1","5"
224,"oasis scholarship money",null,"10","₹0.00","1","13"
225,"oasis scholarship money not received",null,"10","₹0.00","1","5"
226,"oasis scholarship new",null,"10","₹0.00","1","13"
227,"oasis scholarship payment file generated",null,"10","₹0.00","1","5"
228,"oasis scholarship post matric",null,"10","₹0.00","1","5"
229,"oasis scholarship renewal last date 2025 26",null,"10","₹0.00","1","5"
230,"oasis scholarship taka",null,"10","₹0.00","1","13"
231,"oasis scholarship under process",null,"10","₹0.00","1","5"
232,"oasis scholarship unlock",null,"10","₹0.00","1","13"
233,"oasis scholarship unlock process",null,"10","₹0.00","1","5"
234,"obc vjnt scholarship",null,"10","₹0.00","1","13"
235,"oasis and swami vivekananda scholarship",null,"10","₹0.00","1","5"
236,"oasis scholarship verification process",null,"10","₹0.00","1","5"
237,"oasis scholarship 2026 amount",null,"10","₹0.00","1","5"
238,"oasis scholarship new application",null,"10","₹0.00","1","5"
239,"oasis scholarship for class 11",null,"10","₹0.00","1","5"
240,"oasis scholarship in",null,"10","₹0.00","7","16"
241,"oasis scholarship documents required pdf",null,"10","₹0.00","1","5"
242,"oasis scholarship notice",null,"10","₹0.00","1","13"
243,"oasis scholarship renewal last date 2024 25",null,"10","₹0.00","1","5"
244,"oasis scholarship for b ed students",null,"10","₹0.00","1","5"
245,"oasis scholarship status track",null,"10","₹0.00","1","5"
246,"class 11 aikyashree scholarship amount",null,"10","₹0.00","1","5"
247,"aikyashree scholarship class 1",null,"10","₹0.00","1","5"
248,"aikyashree 2025 last date to apply",null,"10","₹0.00","1","5"
249,"aikyashree bengali",null,"10","₹0.00","1","18"
250,"aikyashree scholarship class 5",null,"10","₹0.00","1","5"
251,"aikyashree scholarship amount for class 6",null,"10","₹0.00","1","5"
252,"aikyashree app download",null,"10","₹0.00","1","13"
253,"aikyashree amount for ug students",null,"10","₹0.00","1","5"
254,"aikyashree bank account update",null,"10","₹0.00","1","5"
255,"aikyashree banglar shiksha portal id",null,"10","₹0.00","1","5"
256,"aikyashree contact number west bengal",null,"10","₹0.00","1","5"
257,"aikyashree complaint",null,"10","₹0.00","1","18"
258,"aikyashree district level pending",null,"10","₹0.00","1","5"
259,"aikyashree date extended",null,"10","₹0.00","1","13"
260,"aikyashree district level contact",null,"10","₹0.00","1","5"
261,"aikyashree documents",null,"10","₹0.00","1","18"
262,"aikyashree district helpline number",null,"10","₹0.00","1","5"
263,"aikyashree edit application",null,"10","₹0.00","1","13"
264,"aikyashree fresh application last date",null,"10","₹0.00","1","5"
265,"aikyashree head office address",null,"10","₹0.00","1","5"
266,"aikyashree helpline number wbmdfc",null,"10","₹0.00","1","5"
267,"aikyashree helpline email id",null,"10","₹0.00","1","5"
268,"aikyashree help number",null,"10","₹0.00","1","13"
269,"aikyashree institute list",null,"10","₹0.00","1","13"
270,"aikyashree ki",null,"10","₹0.00","1","18"
271,"aikyashree scholarship kya hai",null,"10","₹0.00","1","5"
272,"aikyashree taka kobe dhukbe",null,"10","₹0.00","1","5"
273,"aikyashree login wbmdfc",null,"10","₹0.00","1","13"
274,"aikyashree lot number check",null,"10","₹0.00","1","5"
275,"aikyashree minority",null,"10","₹0.00","1","18"
276,"aikyashree next payment date",null,"10","₹0.00","1","5"
277,"aikyashree new update",null,"10","₹0.00","1","13"
278,"aikyashree new registration",null,"10","₹0.00","1","13"
279,"aikyashree online form fill up",null,"10","₹0.00","1","5"
280,"aikyashree online",null,"10","₹0.00","1","18"
281,"aikyashree online form",null,"10","₹0.00","1","13"
282,"aikyashree required documents",null,"10","₹0.00","1","13"
283,"aikyashree tsp scholarship",null,"10","₹0.00","1","13"
284,"aikyashree tsp",null,"10","₹0.00","1","18"
285,"aikyashree update today",null,"10","₹0.00","1","13"
286,"aikyashree amount 2024",null,"10","₹0.00","1","13"
287,"aikyashree form 2025",null,"10","₹0.00","1","13"
288,"aikyashree amount 2022",null,"10","₹0.00","1","13"
289,"aikyashree profile update 2025",null,"10","₹0.00","1","5"
290,"aikyashree form fill up online",null,"10","₹0.00","1","5"
291,"aikyashree 2023 24",null,"10","₹0.00","1","13"
292,"aikyashree 2022",null,"10","₹0.00","1","18"
293,"obc scholarship 1st year",null,"0","₹0.00","1","4"
294,"obc scholarship 12th",null,"0","₹0.00","1","12"
295,"obc scholarship 10th pass",null,"0","₹0.00","1","4"
296,"oasis scholarship ba 1st year amount",null,"0","₹0.00","1","4"
297,"oasis scholarship amount for 11th class students",null,"0","₹0.00","1","4"
298,"oasis scholarship amount for 1st year students",null,"0","₹0.00","1","4"
299,"oasis scholarship 2026 last date",null,"0","₹0.00","1","4"
300,"oasis scholarship bangla",null,"0","₹0.00","1","12"
301,"oasis scholarship btech",null,"0","₹0.00","1","12"
302,"obc scholarship 48000",null,"0","₹0.00","1","12"
303,"oasis scholarship for college students",null,"0","₹0.00","1","4"
304,"oasis scholarship for btech students amount",null,"0","₹0.00","1","4"
305,"oasis scholarship 500 server error",null,"0","₹0.00","1","4"
306,"oasis scholarship 60 percentage",null,"0","₹0.00","1","4"
307,"obc scholarship 60000 rupees",null,"0","₹0.00","1","4"
308,"oasis scholarship 60 payment",null,"0","₹0.00","1","4"
309,"oasis scholarship 60 taka kobe dibe",null,"0","₹0.00","1","4"
310,"oasis scholarship 60 taka kobe dhukbe",null,"0","₹0.00","1","4"
311,"oasis scholarship class 7",null,"0","₹0.00","1","4"
312,"oasis scholarship class 9 last date",null,"0","₹0.00","1","4"
313,"oasis scholarship b tech amount",null,"0","₹0.00","1","4"
314,"oasis scholarship college",null,"0","₹0.00","1","12"
315,"oasis scholarship date 2026",null,"0","₹0.00","1","4"
316,"oasis scholarship documents for college students",null,"0","₹0.00","1","4"
317,"oasis scholarship eligibility for college students",null,"0","₹0.00","1","4"
318,"oasis scholarship email id",null,"0","₹0.00","1","4"
319,"oasis scholarship eligibility for pg students",null,"0","₹0.00","1","4"
320,"oasis scholarship for whom",null,"0","₹0.00","1","4"
321,"oasis scholarship for gnm students",null,"0","₹0.00","1","4"
322,"oasis scholarship general category",null,"0","₹0.00","1","4"
323,"oasis scholarship graduation",null,"0","₹0.00","1","12"
324,"oasis scholarship gmail id",null,"0","₹0.00","1","4"
325,"obc scholarship guidelines",null,"0","₹0.00","1","12"
326,"obc scholarship gujarat 2025",null,"0","₹0.00","1","4"
327,"obc scholarship gr",null,"0","₹0.00","1","12"
328,"obc scholarship gujarat documents required",null,"0","₹0.00","1","4"
329,"oasis scholarship head office",null,"0","₹0.00","1","4"
330,"oasis scholarship hard copy",null,"0","₹0.00","1","4"
331,"oasis scholarship hostel",null,"0","₹0.00","1","12"
332,"oasis scholarship in college",null,"0","₹0.00","1","4"
333,"obc scholarship jharkhand 2026",null,"0","₹0.00","1","4"
334,"oasis scholarship ki in bengali",null,"0","₹0.00","1","4"
