No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"obc scheme",null,"70","₹0.00","1","18"
2,"obc scholarship",null,"5,400","₹45.31","2","20"
3,"sc st obc scholarship scheme 2025",null,"18,100","₹0.00","1","10"
4,"obc scholarship post matric","informational","1,000","₹0.00","1","32"
5,"sc st obc scholarship yojana 2025","informational, commercial","1,000","₹62.66","7","19"
6,"obc scholarship in maharashtra","commercial, navigational","480","₹0.00","1","15"
7,"obc scholarship status","navigational, commercial","320","₹0.00","1","57"
8,"obc loan scheme","navigational","260","₹54.95","3","20"
9,"obc b means","informational","260","₹0.00","1","36"
10,"obc scholarship in karnataka","commercial, informational, navigational","260","₹496.45","1","15"
11,"obc scholarship form","navigational, commercial","260","₹40.49","2","19"
12,"obc scholarship 2024","informational, commercial","260","₹0.00","1","36"
13,"obc scholarship last date 2025","informational","260","₹0.00","1","31"
14,"obc scholarship status check","navigational, commercial","260","₹0.00","1","19"
15,"obc scholarship up","commercial, navigational","260","₹0.00","1","18"
16,"obc a vs obc b",null,"210","₹0.00","1","5"
17,"obc scholarship mp last date 2026",null,"210","₹0.00","1","5"
18,"obc scholarship 2026 last date",null,"170","₹41.45","1","6"
19,"obc scholarship gujarat",null,"170","₹0.00","1","14"
20,"obc a and obc b list",null,"140","₹0.00","1","5"
21,"obc scholarship bihar",null,"140","₹0.00","1","14"
22,"obc scholarship in gujarat",null,"140","₹0.00","1","6"
23,"sc st obc scholarship yojana",null,"140","₹0.00","1","6"
24,"obc scholarship portal",null,"140","₹0.00","1","14"
25,"obc scholarship 2026 payment date",null,"140","₹0.00","1","5"
26,"obc loan scheme in maharashtra",null,"110","₹0.00","1","6"
27,"obc scholarship west bengal",null,"110","₹0.00","1","5"
28,"obc scholarship manipur 2025",null,"110","₹0.00","1","5"
29,"sc obc marriage scheme",null,"90","₹0.00","1","5"
30,"obc mahamandal loan scheme apply online",null,"90","₹0.00","2","6"
31,"obc computer training scheme",null,"90","₹0.00","1","6"
32,"obc scholarship kab aayegi 2025",null,"90","₹0.00","1","5"
33,"obc scholarship last date 2026",null,"90","₹0.00","1","5"
34,"obc scholarship for pg students",null,"90","₹0.00","2","6"
35,"obc students scholarship 2025",null,"90","₹0.00","1","5"
36,"obc scholarship tripura",null,"90","₹0.00","1","13"
37,"obc scholarship for engineering students",null,"70","₹0.00","3","6"
38,"obc scholarship for phd",null,"70","₹0.00","1","5"
39,"obc scholarship assam",null,"70","₹0.00","1","14"
40,"obc scholarship punjab",null,"70","₹0.00","1","13"
41,"obc scholarship in kerala",null,"70","₹0.00","1","5"
42,"obc scholarship 2025 payment date",null,"70","₹0.00","1","5"
43,"obc scholarship amount for pg students",null,"70","₹0.00","1","5"
44,"obc scholarship jharkhand",null,"70","₹0.00","1","13"
45,"obc scholarship nsp",null,"70","₹0.00","1","13"
46,"obc 1 and obc 2 means",null,"50","₹0.00","1","5"
47,"obc codes",null,"50","₹0.00","1","18"
48,"obc scheme in maharashtra",null,"50","₹0.00","1","5"
49,"obc scholarship documents",null,"50","₹0.00","1","13"
50,"karnataka obc scholarship online application",null,"50","₹0.00","1","6"
51,"obc scholarship amount in west bengal",null,"50","₹0.00","1","5"
52,"sc st obc scholarship online apply",null,"50","₹0.00","1","6"
53,"obc ssp scholarship last date",null,"50","₹0.00","1","5"
54,"obc scholarship 2026 assam",null,"50","₹39.04","8","8"
55,"obc up scholarship helpline number",null,"50","₹0.00","1","5"
56,"obc scholarship rajasthan",null,"50","₹0.00","1","13"
57,"obc ncl scholarship",null,"50","₹0.00","1","14"
58,"obc b income limit",null,"40","₹0.00","1","5"
59,"obc scholarship scheme",null,"40","₹0.00","1","13"
60,"obc loan scheme in maharashtra marathi",null,"40","₹0.00","1","5"
61,"obc scholarship form last date",null,"40","₹0.00","1","5"
