No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"punjab scholarships",null,"33,100","₹53.02","1","28"
2,"haryana scholarships",null,"8,100","₹53.50","3","21"
3,"punjabi scholarships",null,"9,900","₹32.29","1","20"
4,"haryana chatravriti scholarship","informational","4,400","₹47.23","1","26"
5,"dr ambedkar scholarship haryana","informational","1,600","₹64.59","1","15"
6,"sc bc scholarship haryana","navigational, commercial","880","₹278.59","1","32"
7,"post matric scholarship haryana last date","informational","880","₹0.00","1","14"
8,"br ambedkar scholarship haryana","informational","480","₹109.89","2","14"
9,"scholarship punjab gov in 2024","navigational, informational, commercial","320","₹0.00","1","31"
10,"scholarship haryana 10th class 2024","informational, commercial","320","₹0.00","1","20"
11,"haryana chatravriti scholarship login","navigational, informational","320","₹0.00","1","30"
12,"panjabrao scholarship",null,"260","₹0.00","1","18"
13,"haryana chatravriti scholarship last date","commercial, informational, navigational","260","₹0.00","1","15"
14,"haryana chatravriti scholarship status","commercial, informational","260","₹0.00","1","25"
15,"higher education haryana scholarship","navigational, commercial","260","₹0.00","1","20"
16,"har chatravriti scholarship haryana","navigational, informational","260","₹0.00","1","15"
17,"sc bc scholarship haryana login",null,"210","₹0.00","1","5"
18,"scholarships punjab gov in login",null,"140","₹0.00","1","5"
19,"punjab government scholarships",null,"140","₹0.00","2","14"
20,"haryana har chhatravratti scholarship",null,"110","₹0.00","1","5"
21,"haryana ambedkar scholarship 2025",null,"110","₹0.00","1","5"
22,"www punjab scholarships gov in",null,"90","₹0.00","3","6"
23,"punjab scholarship 2025",null,"90","₹0.00","1","13"
24,"panjabrao scholarship last date",null,"90","₹0.00","1","5"
25,"haryana chatravriti scholarship registration",null,"90","₹0.00","1","5"
26,"is there any scholarship for 9th class",null,"70","₹32.29","10","9"
27,"punjab scholarship undertaking form pdf",null,"70","₹0.00","1","5"
28,"punjab university scholarships",null,"70","₹48.20","28","22"
29,"punjab ashirwad scholarship",null,"70","₹0.00","1","13"
30,"punjab deshmukh scholarship",null,"70","₹0.00","1","13"
31,"nmms scholarship punjab",null,"70","₹0.00","1","13"
32,"ambedkar scholarship haryana sarkari network",null,"70","₹0.00","1","5"
33,"scholarship haryana 12th class 2025",null,"70","₹0.00","3","6"
34,"haryana sports scholarship 2025",null,"70","₹0.00","1","5"
35,"post matric scholarship haryana track application",null,"70","₹0.00","1","5"
36,"punjab national bank scholarship",null,"50","₹10.12","2","6"
37,"sc bc scholarship punjab",null,"50","₹0.00","1","5"
38,"bc scholarship punjab",null,"50","₹0.00","1","13"
39,"punjab scholarship institute login",null,"50","₹0.00","1","5"
40,"punjab scholarship registration",null,"50","₹0.00","1","13"
41,"www punjab scholarship",null,"50","₹0.00","1","13"
42,"punjab scholarship dr ambedkar",null,"50","₹0.00","1","5"
43,"ambedkar scholarship haryana documents required",null,"50","₹0.00","1","5"
44,"post matric scholarship haryana eligibility",null,"50","₹0.00","1","5"
45,"haryana merit scholarship",null,"50","₹0.00","2","14"
46,"punjab scholarship portal freeship card",null,"40","₹0.00","1","5"
47,"haryana chatravriti scholarship documents required",null,"40","₹0.00","1","5"
48,"har scholarship haryana",null,"40","₹0.00","1","13"
49,"haryana meritorious scholarship",null,"40","₹0.00","1","13"
50,"haryana sports scholarship form",null,"40","₹0.00","1","5"
51,"punjab scholarship scheme",null,"30","₹0.00","1","13"
52,"scholarship punjab gov in 2026",null,"30","₹26.51","3","6"
