No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"state scholarships",null,"550,000","₹63.62","1","47"
2,"state scholarship portal odisha",null,"40,500","₹0.00","1","17"
3,"state scholarship portal 2.0",null,"3,600","₹30.37","1","6"
4,"state scholarship portal karnataka","navigational","2,900","₹0.00","1","23"
5,"state scholarship 2025","informational, commercial","1,000","₹0.00","1","39"
6,"state scholarship apply","informational","880","₹85.79","2","35"
7,"state scholarship last date 2025","commercial, informational","880","₹0.00","1","56"
8,"state scholarship status","informational","590","₹0.00","1","33"
9,"state scholarship helpline number","informational","480","₹0.00","1","19"
10,"statement of question",null,"480","₹0.00","1","13"
11,"state scholarship gov in","informational, navigational","390","₹0.00","1","38"
12,"state scholarship login","navigational","390","₹0.00","1","55"
13,"state scholarship 2024","informational, navigational","320","₹0.00","1","67"
14,"state scholarship apply last date","informational","320","₹0.00","1","19"
15,"state scholarship amount","informational","260","₹0.00","1","31"
16,"state scholarship last date 2026","commercial, informational","260","₹17.35","1","29"
17,"state scholarship odisha last date","commercial, informational","260","₹0.00","1","17"
18,"state scholarship sanction list","informational, navigational, commercial","260","₹0.00","1","31"
19,"state scholarship up","informational","260","₹0.00","1","26"
20,"state scholarship odisha portal",null,"260","₹0.00","1","5"
21,"state scholarship 2025 last date",null,"210","₹0.00","1","5"
22,"state scholarship apply date 2025",null,"210","₹0.00","1","5"
23,"state scholarship amount for ug students",null,"170","₹0.00","1","5"
24,"state scholarship odisha 2025",null,"170","₹0.00","1","5"
25,"state scholarship odisha gov in",null,"170","₹0.00","1","5"
26,"state scholarship portal karnataka 2025",null,"140","₹0.00","1","5"
27,"state scholarship amount for pg students",null,"140","₹0.00","1","5"
28,"state scholarship portal 2023",null,"140","₹0.00","1","5"
29,"state scholarship student login",null,"140","₹0.00","1","5"
30,"state scholarship check status",null,"140","₹0.00","1","5"
31,"state scholarship money received date",null,"110","₹0.00","1","5"
32,"state scholarship date",null,"110","₹0.00","1","13"
33,"state scholarship date 2025",null,"110","₹0.00","1","5"
34,"state scholarship helpline number odisha",null,"110","₹0.00","1","5"
35,"state scholarship documents",null,"110","₹0.00","1","13"
36,"state scholarship customer care number",null,"110","₹0.00","1","5"
37,"0disha state scholarship portal",null,"90","₹0.00","1","5"
38,"state scholarship check",null,"90","₹0.00","1","14"
39,"state scholarship status check 2026",null,"90","₹0.00","1","5"
40,"state scholarship apply last date 2025",null,"90","₹0.00","1","5"
41,"state scholarship portal money amount",null,"90","₹0.00","1","5"
42,"state scholarship toll free number",null,"90","₹0.00","1","5"
43,"state scholarship eligibility",null,"90","₹0.00","1","13"
44,"state scholarship 2.0",null,"90","₹0.00","3","14"
45,"state scholarship renewal",null,"90","₹0.00","1","13"
46,"state scholarship 2026",null,"90","₹0.00","2","14"
47,"state scholarship money amount",null,"70","₹0.00","1","5"
48,"state scholarship apply date",null,"70","₹0.00","1","5"
49,"state scholarship date 2026",null,"70","₹0.00","1","5"
50,"state scholarship krishi vidya nidhi yojana",null,"70","₹0.00","1","5"
51,"state scholarship portal jharkhand",null,"50","₹0.00","1","5"
52,"state scholarship 3",null,"50","₹0.00","1","13"
53,"state specific scholarships",null,"50","₹0.00","6","15"
54,"state scholarship nirman shramik odisha",null,"50","₹0.00","1","5"
55,"state scholarship date extended 2025",null,"50","₹0.00","1","5"
56,"state scholarship in odisha",null,"50","₹0.00","1","5"
57,"state scholarship contact number",null,"50","₹0.00","1","5"
58,"state scholarship last date apply",null,"40","₹0.00","1","5"
59,"state scholarship registration",null,"40","₹0.00","4","15"
60,"state scholarship gov in 2025",null,"40","₹0.00","1","6"
61,"state scholarship bonafide certificate pdf",null,"40","₹0.00","1","5"
62,"0disha state scholarship",null,"40","₹0.00","1","13"
63,"state scholarship portal extended date",null,"40","₹0.00","1","5"
