No,Keyword,Volume,CPC,Paid Difficulty,SEO Difficulty
1,scholarship for primary school students in karnataka,0,0,1,4
2,scholarship for ug students in karnataka,170,59.766605,13,9
3,scholarship for undergraduate students in karnataka,140,50.60881875,5,7
4,scholarship for rajasthan college students,0,0,1,4
5,scholarship for japan,260,43.3789875,17,69
6,scholarship for degree completed students in karnataka,40,0,6,7
7,scholarship for 4th year students philippines,0,0,1,4
8,scholarship for 4th class students in maharashtra,0,0,1,4
9,scholarship for handicapped students,320,121.461165,5,15
10,scholarship for humanities students,30,41.93302125,35,16
11,scholarship for engineering girls students,0,0,1,4
12,scholarship for 2nd puc passed students 2026,40,27.9553475,3,6
13,scholarship for college students in karnataka,0,0,1,4
14,scholarship for masters students,210,83.8660425,36,16
15,scholarship for indian students in uk,1300,104.5915588,73,27
16,scholarship for iim,90,67.478425,3,14
17,scholarship for unemployed graduates,70,0,1,6
18,scholarship for ug degree students,10,90.13189625,34,16
19,scholarship for harvard university,1900,83.8660425,42,72
20,scholarship for cbse students,390,78.0821775,8,29
21,scholarship for ews,40,0,4,15
22,scholarship for kids,0,0,1,12
23,scholarship for ration card holders,0,0,1,4
24,scholarship for 3rd class students in india,10,0,3,6
25,scholarship for class 10 students 2026,40,32.29324625,26,13
26,scholarship for 60 percentage students in india,0,0,1,4
27,scholarship for high school students in karnataka,0,0,1,4
28,scholarship for degree students bca,0,0,1,4
29,scholarship for kerala students,170,63.14052625,8,8
30,scholarship for 5th class students in maharashtra result,0,0,1,4
31,scholarship for youth,70,53.50075125,13,17
32,scholarship for 3rd year students,30,26.0273925,18,11
33,scholarship for 9th class students 2026 last date,0,0,1,4
34,scholarship for karnataka degree students,10,0,19,11
35,scholarship for 4ps beneficiaries,0,0,1,4
36,scholarships for queens college,0,0,1,4
37,scholarship for girls in karnataka,0,0,1,4
38,scholarship for puc,140,48.198875,5,15
39,scholarship for higher studies abroad,90,113.749345,87,32
40,scholarship for 50 year old,0,0,1,4
41,scholarship for after 12th students by government,50,51.0908075,13,9
42,scholarship for 2nd puc,210,33.7392125,3,6
43,scholarship for rishihood university,0,0,1,4
44,scholarship for 10th students,170,37.5951225,36,16
45,scholarship for gnm nursing students in karnataka,0,0,1,4
46,scholarship for research students,20,50.60881875,22,12
47,scholarship for 6th students,0,0,1,4
48,scholarship for yale university,390,113.749345,21,12
49,scholarship for bsc students in karnataka,20,0,5,7
50,scholarship for sslc students 2026,50,0,2,6
51,scholarship for degree students last date,50,0,9,8
52,scholarship for higher studies,140,52.054785,35,16
53,scholarship for j&k students,260,74.2262675,9,16
54,scholarship for 6a,0,0,1,12
55,scholarship for class 11,1900,67.478425,23,15
56,scholarship for diploma students,720,95.4337725,22,37
57,scholarship for indian students to study abroad,1300,185.08368,66,44
58,scholarship for nursery students in india,50,0,1,6
59,scholarship for sslc students,90,40.487055,6,7
60,scholarship for bpt students,40,52.53677375,26,13
61,scholarship for harvard law school,0,0,1,4
62,scholarship for foreign education,110,98.80769375,67,26
63,scholarship for technical degree courses is,0,0,1,4
64,scholarship for 6th,0,0,1,12
65,scholarship for medical students,880,149.4165125,13,32
66,scholarship for nursing students 2026,10,90.13189625,21,12
67,scholarship for nursing students in karnataka,40,87.7219525,15,10
68,scholarship for bcom students 2026,20,56.8746725,36,16
69,scholarship for students after 12th,590,66.03245875,38,17
70,scholarship for mba students,720,161.94822,56,38
71,scholarship for undergraduate students,2900,105.0735475,21,37
72,scholarship for female undergraduate students in india,20,32.775235,17,11
73,scholarship for xlri,0,0,1,12
74,scholarship for zambia,0,0,1,12
75,scholarship for 4th standard students in karnataka,0,0,1,4
76,scholarship for engineering students,3600,157.1283325,43,16
77,scholarship for neet coaching by government,70,54.9467175,31,15
78,scholarship for wards of defence personnel,20,0,1,5
79,scholarship 025,0,0,1,17
80,scholarship for jee,20,94.469795,85,39
81,scholarship for young christian people,10,0,1,5
82,scholarship for 2026,70,59.28461625,42,26
83,scholarship for 7th,0,0,1,12
84,scholarship for tfws students,30,0,1,5
85,scholarship for post graduation students,2400,96.39775,14,50
86,scholarship for obc students in karnataka,110,40.00506625,3,6
87,scholarship for xlri jamshedpur,0,0,1,4
88,scholarship for 12th students by government,880,54.9467175,16,45
89,scholarship for 4th standard,390,0.9639775,1,25
90,scholarship for 7th class,20,0,11,9
91,scholarship for 6th sem students,0,0,1,4
92,scholarship for phd students,590,129.172985,7,24
93,scholarship for top class education,10,0,1,5
94,scholarship for class 10,3600,50.12683,26,30
95,scholarship for 9th class students 2026,10,25.063415,38,17
96,scholarship for iiser students,70,0,1,5
97,scholarship for btech,1900,86.27598625,41,26
98,scholarship for class 11 students,480,62.6585375,42,21
99,scholarship for class x students,10,0,56,23
100,scholarship for 80 percentage students,0,0,1,4
101,scholarship for 10th passed students,720,63.622515,23,25
102,scholarship for degree,880,262.20188,43,77
103,scholarship for llm abroad,50,146.0425912,70,27
104,scholarship for 12th passed students by government,5400,76.1542225,12,37
105,scholarship for agriculture students,140,36.631145,25,13
106,scholarship for zhejiang university,0,0,1,4
107,scholarship for bca students in karnataka,40,75.67223375,37,17
108,scholarship for 1st puc students,70,0,2,6
109,scholarship for girls after 12th,0,0,1,4
110,scholarship for 6 to 12 students,20,0,5,7
111,scholarship for 3rd year,10,0,11,9
112,scholarship for btech students by government,880,169.66004,21,35
113,scholarship for women students,90,88.68593,14,10
114,scholarship for class 12 students 2026,20,29.8833025,25,13
115,scholarship for 2nd puc pass out students,10,0,1,6
116,scholarship for after 2nd puc students,0,0,1,4
117,scholarship for iit students,390,103.1455925,4,24
118,scholarship for puc students karnataka 2026,70,30.36529125,6,7
119,scholarships for xavier,0,0,1,12
120,scholarships for xula,0,0,1,12
121,scholarship for undergraduate students in india,1900,141.7046925,28,42
122,scholarship for engineering students in india,260,95.4337725,14,46
123,scholarship for 4th year students,10,0,1,5
124,scholarship for jain students,110,147.9705462,7,8
125,scholarship for 8th students,20,37.11313375,9,8
126,scholarship for rajasthan students,140,34.70319,16,10
127,scholarship for kv students,40,28.43733625,8,8
128,scholarship for type rating,0,0,1,4
129,scholarship for labour students,10,0,2,6
130,scholarship for 9th class students in karnataka,50,27.47335875,9,8
131,scholarship for final year degree students,20,0,15,10
132,scholarship for 80,0,0,1,12
133,scholarship 0.2 mp,0,0,1,12
134,scholarship for third year students,20,0,28,14
135,scholarship for school students,0,0,1,4
136,scholarship for women in engineering,90,41.4510325,13,9
137,scholarship for ca students,480,90.613885,3,33
138,scholarship for yonsei university,480,43.86097625,2,6
139,scholarship for harvard,1000,60.24859375,14,18
140,scholarship for indian students in singapore,320,91.5778625,46,19
141,scholarship for engineering students sc category,40,0,5,7
142,scholarship for after degree students,0,0,1,4
143,scholarship for young artists,110,0,2,6
144,scholarship for engineering students obc category,140,24.58142625,7,8
145,scholarship for women in karnataka,0,0,1,4
146,scholarship for indian students,1600,119.53321,57,65
147,scholarship for ews students,260,71.334335,5,36
148,scholarship for mbbs students,1600,106.037525,7,9
149,scholarship for qatar residents,0,0,1,4
150,scholarship for ymca,30,0,1,13
151,scholarship for 8th class students 2026,30,41.4510325,14,10
152,scholarship for sc students,1300,133.9928725,5,46
153,scholarship for neet,260,85.31200875,46,27
154,scholarship for 50 percentage students,40,13.97767375,9,8
155,scholarship for llb students in karnataka,70,32.29324625,15,10
156,scholarship for women,590,48.198875,11,17
157,scholarship for young christian people hungary,0,0,1,4
158,scholarship for 12th passed students,880,84.83002,36,31
159,scholarship for 70 percentage students,20,0,3,6
160,scholarship for fashion design,90,121.9431537,54,22
161,scholarship for after 10th students,10,30.84728,16,10
162,scholarship for nursing students,390,84.83002,8,34
163,scholarship for upsc aspirants,170,32.29324625,7,8
164,scholarship for labour card holders,40,0,1,6
165,scholarship for 7th class students,40,34.70319,19,11
166,scholarship for graduation students 2026,20,67.478425,23,12
167,scholarship for obc college students,0,0,1,4
168,scholarship for qmul,0,0,1,12
169,scholarship for pilot training,590,69.40638,30,18
170,scholarship for 2nd puc students 2026,70,26.0273925,7,8
171,scholarship for b pharmacy students in karnataka,40,122.4251425,50,21
172,scholarship for paramedical students karnataka 2026,0,0,1,4
