No,Keyword,Volume,CPC,Paid Difficulty,SEO Difficulty
1,pm yasasvi scholarship kerala,0,0,1,4
2,kerala pravasi scholarship,0,0,1,12
3,bsc nursing scholarship kerala,0,0,1,4
4,hsm scholarship kerala,10,0,1,13
5,kerala medical bpl scholarship,0,0,1,4
6,e grantz scholarship kerala,30,0,1,5
7,chief minister scholarship kerala 2025,50,0,1,5
8,kerala government scholarships,90,0,1,13
9,kerala higher education scholarship renewal,20,0,1,5
10,unnathi scholarship kerala apply online,50,0,3,6
11,kerala connect scholarship,10,0,4,15
12,minority welfare scholarship kerala apply online,90,0,1,5
13,kerala govt scholarship for btech students,0,0,1,4
14,norka roots kerala scholarship,10,0,1,5
15,kerala government scholarship for phd students,0,0,1,4
16,obc overseas scholarship kerala,20,0,6,7
17,pre matric scholarship kerala,90,0,1,5
18,kerala scholarship for graduate students,0,0,1,4
19,kerala state merit scholarship,50,0,1,5
20,btech scholarship kerala,0,0,1,12
21,kerala scholarship,320,78.0821775,2,16
22,chief minister scholarship kerala 2026,70,0,1,5
23,kerala government schools best in india,10,0,4,7
24,kerala boy scholarship,0,0,1,12
25,kerala government study abroad scholarships,10,0,43,18
26,kerala district formed year,30,0,1,5
27,kerala students 1000 scholarship,0,0,1,4
28,cm scholarship kerala result,10,0,1,5
29,nmms scholarship kerala last date,10,0,1,5
30,scholarship kshec kerala,50,0,1,13
31,cm research scholarship kerala,110,0,1,5
32,kerala grants and leases act 1980,0,0,1,4
33,cm kid scholarship kerala amount,0,0,1,4
34,kerala uss scholarship exam result,10,0,1,5
35,kerala scholarship last date,0,0,1,4
36,kerala work scholarship,0,0,1,12
37,higher education scholarship kerala contact number,0,0,1,4
38,cm kid scholarship kerala,0,0,1,4
39,how many academic scholarships are given each year,10,0,1,5
40,kerala minority scholarship portal,0,0,1,4
41,kerala aspire scholarship,0,0,1,12
42,kerala higher education scholarship 2025,10,0,1,5
43,plus one scholarship kerala,20,0,1,5
44,kerala disabled scholarship,0,0,1,12
45,kerala lss uss scholarship result,110,0,1,5
46,scholarship dhse kerala,10,0,1,13
47,kerala degree scholarship,0,0,1,12
48,unnathi scholarship kerala list,30,0,13,9
49,kerala psc scholarship 2025,0,0,1,4
50,cm scholarship kerala eligibility,0,0,1,4
51,chief minister scholarship kerala,590,0,1,18
52,kerala overseas scholarship 2025,20,0,1,5
53,connect work scholarship kerala,50,0,1,5
54,kerala waqf board scholarship,10,0,1,5
55,nmms kerala scholarship 2025,0,0,1,4
56,nftw kerala scholarship 2025,20,0,1,5
57,kerala cm kids scholarship result 2026,0,0,1,4
58,mother teresa scholarship kerala apply online,0,0,1,4
59,cm kids scholarship kerala result,0,0,1,4
60,is there any scholarship for obc students,210,55.42870625,4,7
61,unnathi scholarship kerala list 2026,30,50.60881875,5,7
62,kerala sanskrit scholarship 2026,0,0,1,4
63,kerala government new scholarship,10,0,1,5
64,kerala sanskrit scholarship,10,0,1,13
65,kerala startup grants,0,0,1,12
66,kerala lss uss scholarship eligibility criteria,260,0,1,5
67,kerala psc scholarship,20,0,1,13
68,kerala ug scholarship,0,0,1,12
69,labour welfare scholarship kerala,10,0,1,5
70,scholarship kerala gov in,20,0,2,6
71,kerala employment scholarship,0,0,1,12
72,unnathi scholarship kerala,390,166.7681075,17,18
73,kerala psc scholarship 2026,0,0,1,4
74,kerala uss scholarship,0,0,1,12
75,kerala lss scholarship,10,0,1,13
76,kerala government scholarship for abroad studies for obc,20,0,6,7
77,kerala phd scholarship,0,0,1,12
78,scholarship kerala gov in 2025,10,0,1,5
79,post matric scholarship kerala last date,40,0,1,5
80,kerala plus 1 scholarship,0,0,1,4
81,kerala leg treatment,0,0,1,12
82,kerala students scholarship,30,0,1,14
83,nmms scholarship kerala syllabus,0,0,1,4
84,kerala govt scholarship for psc students,10,0,1,5
85,nmmse scholarship kerala,170,0,1,13
86,kerala e grants,0,0,1,12
87,cm research scholarship kerala 2025,10,0,1,5
88,kerala obc scholarship,70,0,1,13
89,www swd scholarship kerala gov in,10,0,1,5
90,kerala government period,20,0,1,13
91,kerala lss uss scholarship,10,0,1,5
92,vidyadhan scholarship kerala last date,0,0,1,4
93,kerala sanskrit scholarship result 2026 pdf download,0,0,1,4
94,vidyadhan scholarship kerala 2026,10,0,1,5
95,unnathi scholarship kerala list 2025,260,57.83865,5,15
96,central sector scholarship kerala,70,0,1,6
97,kerala vidyadhan scholarship,0,0,1,12
98,wings scholarship kerala,10,0,1,13
99,kerala lottery seat result,6600,0,1,35
100,kerala kaumudi scholarship exam,10,0,1,5
101,kerala scholarships,390,0,1,18
102,competitive exam scholarship kerala,0,0,1,4
103,kerala government scholarship for pg students,20,0,1,5
104,kerala lss scholarship result,0,0,1,4
105,kerala minority welfare scholarship portal,20,0,1,5
106,scholarship kerala gov in 2024,20,0,1,5
107,kerala fisherman scholarship,0,0,1,12
108,kerala seat result,170,0,1,13
109,cm scholarship kerala 1 lakh,0,0,1,4
110,kerala formed year,480,0,1,34
111,kerala dce scholarship portal,20,0,1,5
112,kerala vidyadhan scholarship 2025,0,0,1,4
113,mother teresa scholarship kerala,30,0,1,5
114,kerala scholarship status,0,0,1,12
115,kerala excise salary,30,0,1,13
116,unnathi scholarship kerala contact number,10,0,1,5
117,kerala nmms scholarship,0,0,1,12
118,kerala scholarship official website,0,0,1,4
119,kerala e grantz scholarship details,10,0,1,5
120,kerala prajwala scholarship,10,0,1,13
121,kerala kedavilakku scholarship,0,0,1,12
122,hec scholarship kerala,20,0,1,13
123,higher education scholarship kerala amount,0,0,1,4
124,kerala school scholarship,0,0,1,12
125,nmms scholarship kerala contact number,0,0,1,4
126,kerala engineering scholarship,0,0,1,12
127,scholarship kshec kerala gov in,880,178.3358375,1,16
128,kerala gramin bank scholarship,0,0,1,4
129,kerala cm scholarship,10,0,1,13
130,kerala overseas scholarship,40,93.5058175,37,25
131,kerala sc scholarship,0,0,1,12
