No,Keyword,Volume,CPC,Paid Difficulty,SEO Difficulty
1,uttar pradesh scholarship ki date kab tak hai,0,0,1,4
2,can you stack up scholarships,0,0,1,4
3,up scholarship 0tr,0,0,1,12
4,up scholarship amount,110,0,1,13
5,up scholarship helpline number obc 2025 pdf,0,0,1,4
6,is up scholarship date extended,90,0,1,5
7,up scholarship 2004,0,0,1,12
8,when will up scholarship portal open,0,0,1,4
9,up scholarship date 2026,0,0,1,4
10,up scholarship for college students,0,0,1,4
11,up scholarship form,4400,56.8746725,1,14
12,uttar pradesh student scholarship uk,10,0,1,5
13,up scholarship income limit for obc,50,0,1,5
14,uttar pradesh scholarship status 2025,0,0,1,4
15,step up scholarship questions,0,0,1,4
16,up scholarship 80 percent,0,0,1,4
17,up scholarship dbt,40,0,1,13
18,up scholarship 2026 status check,880,0,1,20
19,up scholarship 3rd kist kab aayegi,40,0,1,5
20,step up scholarship 529,0,0,1,4
21,up scholarship org login,0,0,1,4
22,up scholarship check status 2026,260,0,1,40
23,how many students get up scholarship,0,0,1,4
24,up scholarship in,2400,0,1,36
25,up scholarship 50 percent,0,0,1,4
26,up scholarship kab tak aayega,880,0,1,17
27,uttar pradesh scholarship,2400,103.1455925,3,28
28,what is up scholarship amount,0,0,1,4
29,uttar pradesh polytechnic scholarship,0,0,1,4
30,up scholarship ba kab aayegi,10,0,1,5
31,up scholarship second installment date 2026,90,0,1,5
32,up scholarship for mbbs students,40,0,1,6
33,scholarship up,4090000,66.99643625,1,48
34,up scholarship 2026,5400,74.2262675,1,18
35,up scholarship yojana kya hai,0,0,1,4
36,up scholarship 3rd phase,0,0,1,4
37,up scholarship amount for sc,0,0,1,4
38,up scholarship 8,0,0,1,12
39,up scholarship last date 2026,1000,0,1,18
40,up scholarship verification last date,30,0,1,5
41,up scholarship 11th,50,0,12,17
42,up scholarship whatsapp helpline number,20,0,1,5
43,guidelines for up scholarship,10,0,1,5
44,up scholarship 9th 10th,30,0,1,5
45,up to 50 scholarship,0,0,1,4
46,up state scholarship last date,30,0,1,5
47,up scholarship registration no,70,0,1,5
48,up scholarship status check 2026,880,0,1,18
49,when up scholarship money will come,40,0,1,5
50,uttar pradesh sanskrit scholarship,0,0,1,4
51,up scholarship post matric,1300,0,1,15
52,how much time up scholarship take,0,0,1,4
53,uttar pradesh scholarship government,0,0,1,4
54,who are eligible for up scholarship,30,0,1,5
55,uttar pradesh scholarship program,0,0,1,4
56,uttar pradesh scholarship 2024 25,20,0,1,5
57,uttar pradesh college scholarship last date,0,0,1,4
58,registration for up scholarship,30,0,1,5
59,uttar pradesh scholarship portal 2025 26,0,0,1,4
60,up scholarship pfms status,320,0,1,20
61,up scholarship nic in status check,40,0,1,5
62,up scholarship release date,30,0,1,5
