No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"scholarship status 2025",6600,"₹151.93",1,88
2,"global scholarship",2900,"₹126.76",28,84
3,"scholarship online form",3600,"₹62.93",34,83
4,"scholarship world",2400,"₹54.84",9,83
5,"scholarship online apply",1900,"₹178.00",56,82
6,"scholarship ba",480,"₹200.48",28,82
7,"scholarship 10th class",2900,"₹44.05",19,82
8,"scholarship website",1900,"₹75.52",16,82
9,"scholarship 2025",12100,"₹131.25",13,82
10,"scholarship update",480,"₹45.85",6,82
11,"12th scholarship 2024",1900,"₹0.00",1,82
12,"scholarship 2025",6600,"₹122.26",27,81
13,"scholarship status check 2025",1600,"₹60.23",1,81
14,"scholarship programs",590,"₹140.24",33,80
15,"10th scholarship",3600,"₹77.31",2,80
16,"scholarship apply online",2400,"₹75.52",38,79
17,"scholarship apply online",2400,"₹75.52",38,79
18,"scholarship apply",2400,"₹118.67",31,79
19,"scholarship online apply",2900,"₹69.22",28,79
20,"scholarship apply online 2025",260,"₹70.12",35,78
21,"scholarship 2025 apply online",880,"₹88.10",19,78
22,"scholarship form online",2900,"₹67.43",13,78
23,"10th scholarship 2025 apply online",2400,"₹198.68",3,78
24,"scholarship website",1900,"₹147.44",32,77
25,"scholarship form 2023",2900,"₹0.00",1,77
26,"how to get scholarship to study abroad",2900,"₹121.37",74,74
27,"scholarship how to apply",2400,"₹92.60",30,74
28,"digital scholarship",2400,"₹66.53",1,74
29,"scholarship government in",33100,"₹58.44",1,74
30,"scholarship status check 2024",3600,"₹0.00",1,74
31,"scholarship gov in 2025",27100,"₹61.13",2,73
32,"scholarship form last date",6600,"₹53.04",1,73
33,"scholarship form last date 2025",1900,"₹53.94",1,73
34,"cms scholarship",4400,"₹872.03",1,72
35,"chevening scholarship",9900,"₹80.91",40,71
36,"scholarship india",880,"₹85.41",21,71
37,"scholarship worlds.com",2400,"₹178.90",5,70
38,"scholarship apply",1900,"₹123.16",44,69
39,"fulbright scholarship",9900,"₹68.32",17,69
40,"scholarship check",5400,"₹30.57",3,69
41,"scholarship last date 2025",14800,"₹100.69",1,69
42,"daad scholarship germany",2900,"₹81.81",44,68
43,"scholarship 12",2900,"₹65.63",14,68
44,"how to check scholarship status",2400,"₹0.00",1,68
45,"daad scholarship",12100,"₹82.71",35,67
46,"scholarship in government",260,"₹63.83",10,67
47,"scholarship registration",1300,"₹130.36",10,67
48,"student portal scholarship",2400,"₹182.50",8,67
49,"sarkari scholarship",2900,"₹47.65",2,67
50,"post matric scholarship 2025",6600,"₹150.13",1,67
51,"scholarship gov in 2025",49500,"₹58.44",1,67
52,"scholarship portal login",1900,"₹17.08",1,67
53,"scholarship renewal",5400,"₹45.85",1,67
54,"scholarship app",3600,"₹105.18",22,66
55,"scholarship details",320,"₹96.19",15,66
56,"post matric scholarship 2024",5400,"₹0.00",1,66
57,"scholarship date",1600,"₹75.52",1,66
58,"scholarship check",5400,"₹33.26",5,65
59,"scholarship online net",1900,"₹80.91",4,65
60,"scholarship help",260,"₹139.35",3,65
61,"national scholarship portal login",2900,"₹127.66",1,65
62,"scholarship form last date",6600,"₹41.35",1,65
63,"scholarship tracking portal",1900,"₹0.00",1,65
64,"scholarship exam",6600,"₹40.46",45,64
65,"scholarship link",480,"₹57.54",39,64
66,"commonwealth scholarship",4400,"₹78.21",28,64
67,"mext scholarship 2025",5400,"₹66.53",13,64
68,"scholarship list 2025",260,"₹70.12",12,64
69,"define scholarship",4400,"₹57.54",2,64
70,"scholarship last date 2023",2900,"₹0.00",1,64
71,"scholarship last date 2025",9900,"₹78.21",1,64
72,"scholarship portal login",1900,"₹75.52",1,64
73,"scholarship renewal",5400,"₹61.13",1,64
74,"scholarship result",2400,"₹0.00",1,64
75,"scholarship tracking portal",1900,"₹0.00",1,64
76,"state scholarship last date",2400,"₹0.00",1,64
77,"scholarship online.net",2400,"₹62.93",4,63
78,"b sc scholarship last date",2400,"₹0.00",1,63
79,"scholarship gov in login",320,"₹0.00",1,63
80,"scholarship payment status",880,"₹0.00",1,63
81,"scholarship for abroad studies",3600,"₹202.28",81,62
82,"scholarship bsc",2400,"₹75.52",14,62
83,"mext scholarship 2026",2900,"₹61.13",10,62
84,"scholarship application form",1900,"₹115.07",6,62
85,"scholarship department",260,"₹147.44",6,62
86,"scholarship",1220000,"₹69.22",5,62
87,"scholarship ka form",880,"₹41.35",5,62
88,"scholarship",1220000,"₹36.86",4,62
89,"swd scholarship",4400,"₹165.42",1,62
90,"b tech scholarship",1900,"₹80.91",19,61
91,"government scholarship",5400,"₹54.84",9,61
92,"rhodes scholarship",6600,"₹49.45",7,61
93,"ba scholarship",3600,"₹111.48",5,61
94,"dr ambedkar scholarship portal login",5400,"₹0.00",1,61
95,"post matric scholarship status check",2400,"₹0.00",1,61
96,"scholarship meaning in english",1000,"₹0.00",1,61
97,"b.sc scholarship",2400,"₹75.52",14,60
98,"scholarship sc students",1600,"₹108.78",2,60
99,"chatravriti scholarship",8100,"₹92.60",1,60
100,"scholarship ki last date",1300,"₹0.00",1,60
101,"test scholarship",3600,"₹42.25",64,59
102,"scholarship scheme",1300,"₹36.86",10,59
103,"scholarship corner",590,"₹118.67",9,59
104,"scholarship indian students",3600,"₹129.46",60,58
105,"government scholarship for students",1900,"₹71.92",16,58
106,"application for scholarship",2400,"₹138.45",14,58
107,"scholarship higher education",4400,"₹84.51",11,58
108,"scholarship 2025 last date",2900,"₹97.09",1,58
109,"scholarship news",260,"₹4.50",1,58
110,"scholarship test 2025",260,"₹56.64",73,57
111,"german academic exchange service scholarship",9900,"₹108.78",48,57
112,"scholarship for degree students",4400,"₹117.77",40,57
113,"scholarship ki last date 2025",320,"₹6.29",1,57
114,"scholarship means",4400,"₹0.00",1,57
115,"scholarship ssp",260,"₹0.00",1,57
116,"scholarship track",2900,"₹25.17",1,57
117,"scholarship types",260,"₹12.59",1,57
118,"state scholarship portal last date 2024",2900,"₹0.00",1,57
119,"12th scholarship 2025 last date",2900,"₹54.84",1,57
120,"scholarship for degree students",4400,"₹92.60",35,56
121,"higher education scholarship",5400,"₹106.08",17,56
122,"https scholarship up gov in",3600,"₹34.16",2,56
123,"scholarship eligibility checker",260,"₹42.25",2,56
124,"post matric scholarship 2023 24",2900,"₹152.83",1,56
125,"what is scholarship",2900,"₹0.00",1,56
126,"scholarship date 2025 last date",390,"₹44.05",1,55
127,"scholarship up gov in status 2025",3600,"₹20.68",1,55
128,"track scholarship",2900,"₹21.58",1,55
129,"scholarship for class 10",2900,"₹49.45",13,54
130,"scholarship date 2025",1600,"₹54.84",1,54
131,"scholarship wb",8100,"₹41.35",1,54
132,"scholarship to study abroad for indian students",480,"₹215.76",82,53
133,"pg scholarship",3600,"₹89.90",14,53
134,"scholarship money",260,"₹81.81",5,53
135,"12th scholarship",2900,"₹61.13",4,53
136,"scholarship for ug students",2900,"₹91.70",27,52
137,"scholarship for class 11",1900,"₹34.16",15,52
138,"scholarship renewal last date 2025",480,"₹0.00",1,52
139,"scholarship eligibility",390,"₹67.43",6,51
140,"scholarship biometric",390,"₹130.36",3,51
141,"bright futures scholarship",12100,"₹23.37",1,51
142,"bully scholarship edition",2400,"₹1.80",1,51
143,"12th pass scholarship 2025",3600,"₹81.81",1,51
144,"cg scholarship 2024 25",2900,"₹0.00",1,50
145,"post matric scholarship portal",3600,"₹59.33",1,50
146,"state scholarship portal log in",5400,"₹0.00",1,50
147,"scholarship graduation",590,"₹136.65",10,49
148,"gates scholarship cambridge",2400,"₹131.25",42,48
149,"scholarship yojana 2025",590,"₹107.88",5,48
150,"nicsi scholarship",1900,"₹62.93",2,48
151,"ambedkar scholarship portal",4400,"₹0.00",1,48
152,"buddy4study scholarship 2024",3600,"₹32.36",1,48
153,"post matric scholarship cg login",2400,"₹0.00",1,48
154,"scholarship portal",246000,"₹50.79",1,48
155,"scholarship up",4090000,"₹62.48",1,48
156,"scholarship for engineering students",3600,"₹92.60",27,47
157,"scholarship for pg students",2400,"₹71.02",19,47
158,"scholarship letter",480,"₹0.00",1,47
159,"up scholarship 24 25",1900,"₹0.00",1,47
160,"up scholarship login fresh",2400,"₹0.00",1,47
161,"up scholarship status 23 24",5400,"₹0.00",1,47
162,"scholarship engineering",1000,"₹116.87",47,46
163,"scholarship after 12th",1600,"₹67.43",14,46
164,"nmmss scholarship apply online",1900,"₹97.09",2,46
165,"scholarship buddy",320,"₹119.57",2,46
166,"cg scholarship portal login",6600,"₹54.84",1,46
167,"scholarship up gov in status 2025",4400,"₹4.50",1,46
168,"ugc scholarship portal",1900,"₹28.77",1,46
169,"scholarship 11th class",1900,"₹80.01",44,45
170,"graduation scholarship",8100,"₹85.41",2,45
171,"mahadbt login scholarship",8100,"₹0.00",1,45
172,"pm scholarship 2024",2400,"₹0.00",1,45
173,"scholarship result 2025",14800,"₹24.27",1,45
174,"scholarship status",90500,"₹33.71",1,45
175,"scholarship up gov in registration 2024",2400,"₹0.00",1,45
176,"national overseas scholarship",3600,"₹89.90",31,44
177,"scholarship private",320,"₹88.10",19,44
178,"post matric scholarship cg nic in",2900,"₹0.00",1,44
179,"scholarship certificate",390,"₹107.88",1,44
180,"scholarship logo",590,"₹0.00",1,44
181,"scholarship yojana",1300,"₹46.75",7,43
182,"bsc scholarship last date 2025",2400,"₹54.84",1,43
183,"central sector scholarship scheme 2025",2400,"₹127.66",1,43
184,"cm scholarship portal",3600,"₹0.00",1,43
185,"scholarship documents list",1000,"₹0.00",1,43
186,"scholarship names",320,"₹80.01",1,43
187,"scholarship national portal",201000,"₹35.06",1,43
188,"scholarship result 2025",12100,"₹40.46",1,43
189,"scholarship exam",6600,"₹26.07",30,42
190,"nmms scholarship portal",2900,"₹71.02",2,42
191,"nmms scholarship 2025",8100,"₹74.62",1,42
192,"nsp scholarship amount for ug students",2900,"₹0.00",1,42
193,"scholarship otr",2400,"₹40.46",1,42
194,"scholarship post matric",550000,"₹42.25",1,42
195,"scholarship 12th class",1600,"₹71.92",20,41
196,"pms scholarship 2025",22200,"₹80.91",1,41
197,"scholarship biometric last date 2025",260,"₹0.00",1,41
198,"scholarship test",2900,"₹23.37",41,40
199,"scholarship for btech students",3600,"₹68.32",19,40
200,"scholarship for pg students",2400,"₹71.02",19,40
201,"csc scholarship",2400,"₹112.38",9,40
202,"buddy for study scholarship",5400,"₹62.03",5,40
203,"otr scholarship",5400,"₹50.34",2,40
204,"nsp scholarship amount",1900,"₹26.97",1,40
205,"pms scholarship status",2900,"₹0.00",1,40
206,"sje scholarship",6600,"₹72.82",1,40
207,"class 10 scholarship",3600,"₹30.57",8,39
208,"pm scholarship 2025",1900,"₹54.84",4,39
209,"amazon future engineer scholarship",2400,"₹39.56",3,39
210,"national scholarship for post graduate studies",2400,"₹88.10",2,39
211,"nmms scholarship apply online",1900,"₹71.02",2,39
212,"cg post matric scholarship 2024",4400,"₹0.00",1,39
213,"post matric scholarship login",4400,"₹0.00",1,39
214,"scholarship gov in up",4400,"₹19.78",1,39
215,"scholarship rajasthan",1300,"₹90.80",1,39
216,"buddy4study.com scholarship",1900,"₹65.63",23,38
217,"felix scholarship",1900,"₹113.27",21,38
218,"scholarship iti",5400,"₹56.64",3,38
219,"graduation scholarship 2025",8100,"₹118.67",2,38
220,"cgpost matric scholarship 2025",2400,"₹0.00",1,38
221,"kerala lss uss scholarship result",6600,"₹0.00",1,38
222,"nsp scholarship status check",3600,"₹0.00",1,38
223,"post matric scholarship last date",12100,"₹0.00",1,38
224,"post matric scholarship sc & st",2400,"₹80.01",1,38
225,"scholarship rajasthan gov in status",3600,"₹0.00",1,38
226,"gks scholarship",5400,"₹23.37",18,37
227,"inlaks scholarship",3600,"₹71.02",10,37
228,"scholarship for medical students",880,"₹97.99",9,37
229,"scholarship for 12th passed students by government",4400,"₹43.15",4,37
230,"scholarship iti",5400,"₹56.64",3,37
231,"reliance scholarship 2024",4400,"₹15.28",2,37
232,"bright futures scholarship login",6600,"₹0.00",1,37
233,"dhe scholarship",4400,"₹71.92",1,37
234,"iti scholarship 2025",2900,"₹146.54",1,37
235,"nsp national scholarship portal",2900,"₹89.90",1,37
236,"scholarship helpline number",1600,"₹0.00",1,37
237,"scholarship up gov in registration 2024 25",9900,"₹17.08",1,37
238,"scholarship 8th class",480,"₹30.57",14,36
239,"scholarship reliance foundation org",2900,"₹43.15",8,36
240,"scholarship db",320,"₹65.63",5,36
241,"scholarship haryana",12100,"₹58.44",3,36
242,"matric scholarship",2400,"₹96.19",1,36
243,"reliance foundation scholarship login",5400,"₹22.48",1,36
244,"reliance scholarship login",3600,"₹3.60",1,36
245,"scholarship hat",720,"₹82.26",1,36
246,"scholarship required documents",720,"₹0.00",1,36
247,"scholarship wbsed gov in result",2400,"₹0.00",1,36
248,"ts scholarship amount release date",2400,"₹0.00",1,36
249,"5th scholarship result 2025",2900,"₹0.00",1,36
250,"scholarship application 2025",90,"₹91.25",72,35
251,"nmmss scholarship",4400,"₹66.53",7,35
252,"scholarship in karnataka",1600,"₹73.72",5,35
253,"graduation scholarship 2024",1900,"₹101.59",1,35
254,"licindia.in scholarship 2024",6600,"₹0.00",1,35
255,"nsp scholarship form",2400,"₹16.18",1,35
256,"otr registration scholarship",2400,"₹391.07",1,35
257,"scholarship documents",1600,"₹62.93",1,35
258,"scholarship hindi",390,"₹0.00",1,35
259,"scholarship letter request",480,"₹0.00",1,35
260,"ug merit scholarship",2900,"₹44.95",1,35
261,"10th scholarship 2025 last date",2900,"₹41.35",1,35
262,"scholarship in germany",1300,"₹114.17",69,34
263,"scholarship in uk for indian students",2400,"₹155.53",64,34
264,"scholarship test",2900,"₹23.37",41,34
265,"ntse scholarship",2900,"₹40.46",22,34
266,"scholarships360",70,"₹25.62",8,34
267,"12th pass scholarship",1900,"₹52.14",4,34
268,"class 10 scholarship 2025",2900,"₹47.65",2,34
269,"cg post matric scholarship 2025",3600,"₹0.00",1,34
270,"epass scholarship status",3600,"₹0.00",1,34
271,"harchhatravratti scholarship",9900,"₹240.03",1,34
272,"haryana scholarship portal",1900,"₹39.56",1,34
273,"https licindia in scholarship",2400,"₹0.00",1,34
274,"labour scholarship",5400,"₹58.44",1,34
275,"scholarship 8th",320,"₹32.36",1,34
276,"scholarship otr",2400,"₹40.46",1,34
277,"scholarship otr registration",4400,"₹71.92",1,34
278,"scholarship up gov in",165000,"₹45.40",1,34
279,"swami vivekananda scholarship 2024",6600,"₹0.00",1,34
280,"10th scholarship 2025",22200,"₹106.08",1,34
281,"12th scholarship 2025 status check",2400,"₹0.00",1,34
282,"scholarship btech students",2900,"₹56.64",64,33
283,"scholarship test for class 11",1000,"₹41.35",36,33
284,"scholarship exam for class 7",260,"₹16.18",28,33
285,"life's good scholarship",3600,"₹44.95",9,33
286,"nmms scholarship for class 8",4400,"₹53.94",2,33
287,"bihar scholarship portal",2400,"₹69.22",1,33
288,"national scholarship portal last date",4400,"₹22.48",1,33
289,"post matric scholarship to obc students",1900,"₹39.56",1,33
290,"scholarship kya hota hai",1000,"₹0.00",1,33
291,"swami vivekananda scholarship last date",6600,"₹0.00",1,33
292,"up scholarship 2024 25 start date",4400,"₹0.00",1,33
293,"yuva unstoppable scholarship",2400,"₹26.52",1,33
