No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"aakash institute scholarship exam",9900,"₹24.76",37,19
2,"aakash scholarship exam",8100,"₹326.11",65,35
3,"access scholarship cfa",5400,"₹155.20",3,16
4,"aditya birla group scholarship",5400,"₹31.90",2,7
5,"aditya birla scholarship",8100,"₹34.28",4,17
6,"aicte scholarship",5400,"₹109.50",8,30
7,"aikyashree scholarship 2025",9900,"₹0.00",1,15
8,"akash scholarship test",9900,"₹71.41",67,36
9,"albert einstein international scholarship test question paper",6600,"₹0.00",1,16
10,"albert einstein international scholarship test question papers",5400,"₹0.00",1,14
11,"allen scholarship test",18100,"₹92.36",64,38
12,"allen scholarship test 2025 26 date",5400,"₹163.77",57,24
13,"als ias scholarship test question paper",33100,"₹0.00",1,13
14,"ambedkar scholarship",12100,"₹89.50",1,21
15,"are scholarship awards taxable",10,"₹0.00",1,5
16,"are scholarship exams hard",20,"₹0.00",1,6
17,"are scholarship funds taxable",0,"₹0.00",1,4
18,"are scholarship money taxable",0,"₹0.00",1,4
19,"are scholarship owl scholarships legit",0,"₹0.00",1,4
20,"are scholarship results out",0,"₹0.00",1,4
21,"are scholarship stipends taxable",10,"₹0.00",1,5
22,"are scholarship taxable income",0,"₹0.00",1,4
23,"asha scholarship",6600,"₹135.21",10,17
24,"atul maheshwari scholarship",8100,"₹71.41",2,17
25,"atul maheshwari scholarship 2025",9900,"₹28.56",1,16
26,"azim premji foundation scholarship",9900,"₹72.36",2,32
27,"azim premji scholarship 2025 eligibility criteria",5400,"₹159.01",1,32
28,"azim premji scholarship apply online",5400,"₹179.96",2,36
29,"azim premji scholarship apply online 2025",12100,"₹63.79",7,25
30,"azim premji scholarship last date",5400,"₹0.00",1,33
31,"azim premji scholarship login",8100,"₹152.34",1,35
32,"bharti airtel scholarship",14800,"₹42.85",10,29
33,"bihar graduation scholarship 50000 status check",9900,"₹273.27",1,33
34,"bihar post matric scholarship",22200,"₹0.00",1,11
35,"bihar post matric scholarship 2024 25",5400,"₹0.00",1,28
36,"bihar post matric scholarship 2025",6600,"₹0.00",1,25
37,"bihar scholarship portal taja info",6600,"₹0.00",1,18
38,"bihar scholarship post matric",27100,"₹253.27",1,20
39,"bonafide scholarship",9900,"₹109.50",1,22
40,"bright futures scholarship login",9900,"₹0.00",1,32
41,"buddy for study scholarship",6600,"₹113.31",8,32
42,"buddy4study scholarship 2025 26",6600,"₹87.60",5,32
43,"byju's scholarship test question paper",6600,"₹0.00",1,26
44,"can 2nd year student apply for up scholarship",0,"₹0.00",1,4
45,"can general category get nsp scholarship",140,"₹0.00",1,5
46,"can i apply for up scholarship in 2nd year",30,"₹0.00",1,5
47,"can i apply nsp scholarship",0,"₹0.00",1,4
48,"can i apply nsp scholarship in 2nd year",110,"₹0.00",1,5
49,"can i apply nsp scholarship now",50,"₹0.00",1,5
50,"can i fill up scholarship form today",0,"₹0.00",1,4
51,"can i get nsp scholarship",0,"₹0.00",1,4
52,"can i get nsp scholarship in 2nd year",20,"₹0.00",1,5
53,"can i get up scholarship",0,"₹0.00",1,4
54,"can nsp",0,"₹0.00",1,17
55,"can obc apply for up scholarship",0,"₹0.00",1,4
56,"can private school students apply for up scholarship",0,"₹0.00",1,4
57,"can scholarship",10,"₹0.00",6,20
58,"can scholarship be applied in 2nd year",20,"₹0.00",1,5
59,"can scholarship be revoked",0,"₹0.00",1,4
60,"can scholarship be used for room and board",0,"₹0.00",1,4
61,"can scholarship money be taxed",0,"₹0.00",1,4
62,"can scholarship money be used for anything",10,"₹0.00",1,5
63,"can scholarship money be used for housing",10,"₹0.00",1,5
64,"can scholarship money be used for off campus housing",0,"₹0.00",1,4
65,"can scholarship money be used for personal use",10,"₹0.00",1,5
66,"can scholarship owl be trusted",0,"₹0.00",1,4
67,"can up scholarship date extended",10,"₹0.00",1,5
68,"can you get more than one scholarship",30,"₹0.00",1,5
69,"can you keep scholarship money",10,"₹0.00",1,5
70,"canara scholarship portal login",6600,"₹0.00",1,20
71,"central sector scheme scholarship",6600,"₹47.61",4,8
72,"cg post matric scholarship",40500,"₹0.00",1,17
73,"cg post matric scholarship 2025",6600,"₹0.00",1,17
74,"cg scholarship",74000,"₹0.00",1,40
75,"cg scholarship portal login",12100,"₹0.00",1,42
76,"cgschool scholarship",5400,"₹0.00",1,28
77,"chatravriti scholarship",6600,"₹34.28",1,34
78,"chevening scholarship",9900,"₹160.91",54,71
79,"chief minister scholarship",6600,"₹125.68",1,27
80,"chief minister's special scholarship examination 2017 question paper",49500,"₹0.00",1,15
81,"commonwealth scholarship commission",1220000,"₹5.24",1,42
82,"commonwealth scholarship commission applications",9900,"₹6.19",9,10
83,"connect to work scholarship",27100,"₹277.08",1,37
84,"connect to work scholarship application status",6600,"₹0.00",1,20
85,"dbt scholarship",9900,"₹0.00",1,20
86,"dce scholarship",5400,"₹75.70",1,19
87,"details about nsp scholarship",40,"₹0.00",1,5
88,"digital gujarat scholarship",368000,"₹26.66",1,42
89,"digital gujarat scholarship 2025",6600,"₹0.00",1,17
90,"digital gujarat scholarship last date",5400,"₹0.00",1,19
91,"digital gujarat scholarship login",74000,"₹0.00",1,27
92,"digital india scholarship gujarat",301000,"₹0.00",1,16
93,"do scholarships have to be used for tuition",10,"₹0.00",1,5
94,"doctor ambedkar scholarship portal",18100,"₹23.80",1,15
95,"does up scholarship comes in installments",0,"₹0.00",1,4
96,"dr b r ambedkar scholarship",9900,"₹0.00",1,18
97,"dr br ambedkar scholarship",12100,"₹25.71",1,18
98,"e kalyan scholarship",22200,"₹37.13",1,19
99,"e medhabruti scholarship",6600,"₹67.13",1,19
100,"epass telangana scholarship",9900,"₹50.46",1,22
101,"erasmus mundus scholarship",9900,"₹46.66",40,28
102,"ffe scholarship",12100,"₹196.14",3,31
103,"fulbright scholarship",5400,"₹115.21",16,68
104,"future bright scholarship",12100,"₹75.22",1,43
105,"german academic exchange service daad scholarship",9900,"₹57.61",48,22
106,"german academic exchange service scholarship",12100,"₹57.13",42,21
107,"gks scholarship",6600,"₹41.89",30,17
108,"golden jubilee scholarship",6600,"₹122.83",2,25
109,"golden jubilee scholarship scheme 2025",5400,"₹114.26",2,28
110,"google scholarship citation",33100,"₹236.13",1,48
111,"government scholarship in",9900,"₹56.18",3,76
112,"govt scholarship",5400,"₹103.78",12,64
113,"govt scholarship in",18100,"₹79.03",4,78
114,"graduate scholarship",9900,"₹73.32",1,21
115,"graduation scholarship 2025",9900,"₹163.77",1,37
116,"graduation scholarship 2025 bihar",6600,"₹0.00",1,15
117,"gujarat scholarship",12100,"₹45.70",1,26
118,"h d f c scholarship",60500,"₹54.27",2,14
119,"harchhatravratti scholarship",6600,"₹0.00",1,26
120,"haryana chatravriti scholarship",6600,"₹0.00",1,28
121,"haryana sc bc scholarship online status check",5400,"₹0.00",1,26
122,"haryana scholarship",12100,"₹59.99",3,24
123,"hdfc bank parivartan scholarship",9900,"₹27.61",1,21
124,"hdfc bank scholarship 2025",8100,"₹0.00",1,25
125,"hdfc parivartan scholarship",33100,"₹13.81",1,23
126,"hdfc parivartan scholarship 2025",5400,"₹48.56",1,12
127,"hdfc scholarship",27100,"₹25.71",1,26
128,"hdfc scholarship 2025 last date",8100,"₹0.00",1,18
129,"helix scholarship test sample papers",5400,"₹0.00",1,9
130,"how apply nsp scholarship",20,"₹0.00",1,5
131,"how can i get scholarship in up",20,"₹0.00",6,7
132,"how check scholarship status",70,"₹0.00",1,5
133,"how do i check my nsp scholarship amount",40,"₹0.00",1,5
134,"how long does a full ride scholarship last",10,"₹0.00",1,5
135,"how many documents required for up scholarship",0,"₹0.00",1,4
136,"how many percentage required for nsp scholarship",50,"₹0.00",1,5
137,"how many percentage required for up scholarship",0,"₹0.00",1,4
138,"how many scholarship after 12th",20,"₹0.00",1,6
139,"how many scholarship can a student apply",110,"₹0.00",1,5
140,"how many scholarship can a student get",0,"₹0.00",1,4
141,"how many scholarship can i apply",260,"₹0.00",1,40
142,"how many scholarship can i apply after 10th",40,"₹0.00",1,5
143,"how many scholarship can i apply after 12th",170,"₹0.00",1,6
144,"how many scholarship can i apply at a time",30,"₹0.00",1,5
145,"how many scholarship can i apply in a year",0,"₹0.00",1,4
146,"how many scholarship can i apply in btech",10,"₹0.00",2,6
147,"how many scholarship can i apply in nsp",40,"₹0.00",1,5
148,"how many scholarship can i get",10,"₹0.00",1,5
149,"how many scholarship can i receive",0,"₹0.00",1,4
150,"how many scholarship exam in india",0,"₹0.00",1,4
151,"how many scholarship i can apply",0,"₹0.00",1,4
152,"how many scholarship in india",20,"₹0.00",1,5
153,"how many scholarship in karnataka",0,"₹0.00",1,4
154,"how many scholarship in ntse exam",0,"₹0.00",1,4
155,"how many scholarships are there in the us",10,"₹0.00",1,5
156,"how many scholarships go unused every year",0,"₹0.00",1,4
157,"how many students get nsp scholarship",70,"₹0.00",1,5
158,"how many students get up scholarship",0,"₹0.00",1,4
159,"how much amount is given in nsp scholarship",140,"₹0.00",1,5
160,"how much does nsp scholarship pay",20,"₹0.00",1,5
161,"how much income for up scholarship",0,"₹0.00",1,4
162,"how much is nsp scholarship amount for pg students",10,"₹0.00",1,5
163,"how much is nsp scholarship amount for post matric",10,"₹0.00",1,5
164,"how much is nsp scholarship amount for ug students",20,"₹0.00",1,5
165,"how much is step up scholarship",10,"₹0.00",1,5
166,"how much is step up scholarship in florida",0,"₹0.00",1,4
167,"how much is the gear up scholarship",0,"₹0.00",1,4
168,"how much is the nsp scholarship for st students",0,"₹0.00",1,4
169,"how much is the nsp scholarship for ug students",0,"₹0.00",1,4
170,"how much is the step up scholarship for 2025",0,"₹0.00",1,4
171,"how much is the step up scholarship for 2026",0,"₹0.00",1,4
172,"how much money is given in nsp scholarship",70,"₹0.00",1,5
173,"how much money we get in up scholarship",30,"₹0.00",1,5
174,"how much national merit scholarship",10,"₹0.00",1,5
175,"how much national merit scholarship money",10,"₹0.00",1,5
176,"how much national scholarship",0,"₹0.00",1,4
177,"how much nsp provide scholarship",0,"₹0.00",1,4
178,"how much nsp scholarship",10,"₹0.00",1,5
179,"how much nsp scholarship amount",0,"₹0.00",1,4
180,"how much nsp scholarship money will come",110,"₹0.00",1,5
181,"how much nsp scholarship will i get",90,"₹0.00",1,5
182,"how much scholarship can i get for mbbs in india",50,"₹89.50",2,6
183,"how much scholarship can i get from asat",70,"₹0.00",6,7
184,"how much scholarship can i get from lpunest",40,"₹85.69",16,10
185,"how much scholarship can i get from national scholarship portal",40,"₹0.00",1,5
186,"how much scholarship can i get from post matric scholarship",170,"₹0.00",1,5
187,"how much scholarship can i get from pwsat",40,"₹28.56",15,10
188,"how much scholarship can i get from ssp",210,"₹0.00",1,5
189,"how much scholarship can i get from up scholarship",260,"₹0.00",1,24
190,"how much scholarship for bed students",0,"₹0.00",1,4
191,"how much scholarship for bsc nursing students",10,"₹0.00",1,6
192,"how much scholarship for sc students",0,"₹0.00",1,4
193,"how much scholarship is given in up scholarship",0,"₹0.00",1,4
194,"how much scholarship nsp give",0,"₹0.00",1,4
195,"how much time nsp scholarship take",40,"₹0.00",1,5
196,"how much time up scholarship take",0,"₹0.00",1,4
197,"how much to set up a scholarship fund",0,"₹0.00",1,4
198,"how much up scholarship",10,"₹0.00",1,5
199,"how nsp scholarship",0,"₹0.00",1,12
200,"how scholarship apply",0,"₹0.00",1,12
201,"how scholarship help achieve goals",10,"₹0.00",1,5
202,"how scholarship help students",20,"₹0.00",1,5
203,"how scholarship is given",20,"₹0.00",1,5
204,"how scholarship will help you",20,"₹0.00",1,5
205,"how scholarship works",70,"₹0.00",1,13
206,"how to apply nsp scholarship 2024 25",720,"₹0.00",1,22
207,"how to apply nsp scholarship 2025",50,"₹0.00",1,5
208,"how to apply nsp scholarship 2025 26",70,"₹24.76",1,6
209,"how to check nsp scholarship payment status",110,"₹0.00",1,5
210,"how to check nsp scholarship status",880,"₹0.00",1,17
211,"how to fill nsp scholarship form",170,"₹0.00",1,5
212,"how to get nsp scholarship",90,"₹0.00",1,5
213,"how to nsp scholarship renewal",0,"₹0.00",1,4
214,"how to renewal nsp scholarship 2025 26",70,"₹0.00",1,5
215,"how to scholarship apply",1900,"₹132.35",19,79
216,"how to scholarship check",10,"₹0.00",1,5
217,"how to scholarship essay",0,"₹0.00",1,4
218,"how to scholarship exam",0,"₹0.00",1,4
219,"how to scholarship form",10,"₹0.00",1,5
220,"how to scholarship in canada",10,"₹0.00",71,27
221,"how to scholarship in usa",0,"₹0.00",1,4
222,"how to scholarship result",0,"₹0.00",1,4
223,"how to scholarship status",30,"₹0.00",1,5
224,"how to scholarship status check",50,"₹0.00",1,5
225,"hr chatravriti scholarship",6600,"₹0.00",1,24
226,"in which month nsp scholarship will come",110,"₹0.00",1,5
227,"inspire scholarship",60500,"₹34.28",1,37
228,"inter scholarship 2025",6600,"₹218.99",1,36
229,"international scholarship for students",74000,"₹240.89",28,65
230,"international students scholarship",60500,"₹223.76",1,83
231,"is nsp scholarship",0,"₹0.00",1,12
232,"is nsp scholarship amount credited 2025",210,"₹0.00",1,5
233,"is nsp scholarship amount credited 2026",20,"₹0.00",1,5
234,"is nsp scholarship date extended",140,"₹0.00",1,5
235,"is nsp scholarship for all students",70,"₹0.00",1,5
236,"is nsp scholarship for college students",0,"₹0.00",1,4
237,"is nsp scholarship for general category",260,"₹0.00",1,33
238,"is nsp scholarship for pg students",10,"₹0.00",1,5
239,"is nsp scholarship for phd students",0,"₹0.00",1,4
240,"is nsp scholarship for sc students",10,"₹0.00",1,5
241,"is nsp scholarship for ug students",0,"₹0.00",1,4
242,"is nsp scholarship for undergraduate students",0,"₹0.00",1,4
243,"is nsp scholarship open",90,"₹0.00",1,5
244,"is nsp scholarship real or fake",30,"₹0.00",1,5
245,"is scholarship free money",10,"₹0.00",5,7
246,"is up scholarship",0,"₹0.00",1,12
247,"is up scholarship date extended",90,"₹0.00",1,5
248,"is up scholarship date extended 2025",10,"₹0.00",1,5
249,"is up scholarship distributed",20,"₹0.00",1,5
250,"is up scholarship form out",0,"₹0.00",1,4
251,"ishan uday scholarship 2025",5400,"₹0.00",1,17
252,"iti scholarship",5400,"₹42.85",2,19
253,"japan mext scholarship",22200,"₹67.60",9,66
254,"jindal foundation scholarship",8100,"₹17.14",18,21
255,"jindal scholarship 2025",22200,"₹171.39",1,17
256,"labour scholarship",6600,"₹0.00",1,26
257,"last date for post matric scholarship",12100,"₹120.92",1,33
258,"last date of up scholarship",14800,"₹63.79",1,47
259,"last date scholarship",14800,"₹50.46",1,85
260,"lic golden jubilee scholarship",40500,"₹50.46",2,34
261,"lic golden jubilee scholarship 2025",40500,"₹58.08",1,19
262,"lic golden jubilee scholarship 2025 application form",5400,"₹0.00",1,37
263,"lic in scholarship",33100,"₹69.51",1,37
264,"lic scholarship",8100,"₹16.19",2,21
265,"lic scholarship 2025",27100,"₹179.00",1,20
266,"licindia.in scholarship 2024",5400,"₹0.00",1,35
267,"login scholarship",18100,"₹24.28",1,23
268,"m y s y scholarship",60500,"₹287.55",1,26
269,"made easy national scholarship test question paper",9900,"₹0.00",1,16
270,"made easy scholarship test previous year question papers",33100,"₹0.00",1,26
271,"madhya pradesh scholarship",9900,"₹39.04",1,19
272,"maha dbt post matric scholarship",5400,"₹0.00",1,20
273,"maha dbt scholarship last date",9900,"₹0.00",1,33
274,"mahabocw scholarship status check",6600,"₹0.00",1,13
275,"mahindra empower her scholarship",5400,"₹34.75",14,11
276,"malabar scholarship",5400,"₹84.74",2,11
277,"margadeepam scholarship",8100,"₹0.00",1,14
278,"mbocww scholarship",5400,"₹0.00",1,11
279,"means scholarship",9900,"₹0.00",1,36
280,"medhasoft 12th scholarship 2025",8100,"₹0.00",1,23
281,"mext japan scholarship",14800,"₹64.75",10,62
282,"mext scholarship 2026",5400,"₹55.22",15,43
283,"mext scholarship of japan",18100,"₹35.71",14,15
284,"minority scholarship",22200,"₹101.88",1,25
285,"motion scholarship test",6600,"₹43.80",70,26
286,"mp scholarship 2",9900,"₹68.55",1,18
287,"mp task scholarship",14800,"₹38.56",1,18
288,"mptaas scholarship 2026",6600,"₹134.25",1,18
289,"msce pune in scholarship",6600,"₹8.57",1,22
290,"msce pune scholarship",5400,"₹66.65",1,13
291,"msce pune scholarship result link",5400,"₹0.00",1,23
292,"n m m s scholarship",40500,"₹148.54",2,36
293,"n s p scholarship",673000,"₹149.49",1,36
