ID,Scholarship Title ,Provider ,Scholarship Type,Provider Sub Type ,State ,Residency Requirement ,Course Stream ,Age Limit ,Total Awards ,Community ,Gender ,Education Level ,Minimum Marks ,Income Limit ,Minimum Scholarship Amount ,Annual Amount ,Amount Description ,Deadline ,Deadline Description,Official Website ,SEO Keywords ,Special conditions ,Tags ,Thumbnail URL,Documents Needed ,Apply URL,Introduction ,Benefits ,Application Step by Step Guide ,Selection Process ,FAQs ,Verified ,Last Verified Date ,Verification year ,Application Type ,Show on Homepage ,Is Featured ,Is Popular ,Priority Score ,Scholarship Status,Time to apply (mins),Renewal ,Helpline ,Competitiveness,Internal Notes ,Production Status ,Localhost URL
1,Post Matric Scholarship for SC Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 11, Class 12, Diploma, ITI, Undergraduate, Postgraduate, Technical, Professional",,,SC,All,"Post-Matric (Class 11-12), Undergraduate (UG), Postgraduate (PG), Diploma/Polytechnic",,250000,,20000,,2025-12-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, Admission letter, Bonafide certificate",https://scholarship.odisha.gov.in/,,"Tuition fee reimbursement, Admission fee coverage, Library and sports fee, Monthly maintenance allowance ₹550 for day scholars or ₹1200 for hostellers, Additional ₹1200-2400/year reader allowance for visually/physically challenged students, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select SC category and fill application form, 4. Upload required documents in PDF format (max 500 KB each), 5. Submit application before December 31, 6. Track status through portal using login credentials",Merit-based selection for students from SC category with family income below ₹2.5 lakh. Students already receiving other state/central scholarships covering full tuition are ineligible. Institute and district-level verification required before disbursement.,"[{""question"":""What is the income limit for SC students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""What is the maintenance allowance amount?"",""answer"":""Day scholars receive ₹550 per month and hostellers receive ₹1200 per month""},{""question"":""Is minimum marks percentage required?"",""answer"":""No minimum marks requirement for SC students""},{""question"":""Can I apply if studying outside Odisha?"",""answer"":""Yes, Odisha domicile students studying outside the state are eligible""}]",,2025-12-30,2025,Form-only,1,1,1,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/post-matric-scholarship-for-sc-students-odisha
2,Post Matric Scholarship for ST Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 11, Class 12, Diploma, ITI, Undergraduate, Postgraduate, Technical, Professional",,,ST,All,"Post-Matric (Class 11-12), Undergraduate (UG), Postgraduate (PG), Diploma/Polytechnic",,250000,,20000,,2025-12-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, Admission letter, Bonafide certificate",https://scholarship.odisha.gov.in/,,"Tuition fee reimbursement, Admission fee coverage, Library and sports fee, Monthly maintenance allowance ₹550 for day scholars or ₹1200 for hostellers, Additional ₹1200-2400/year reader allowance for visually/physically challenged students, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select ST category and fill application form, 4. Upload required documents in PDF format (max 500 KB each), 5. Submit application before December 31, 6. Track status through portal using login credentials",Merit-based selection for students from ST category with family income below ₹2.5 lakh. Students already receiving other state/central scholarships covering full tuition are ineligible. Institute and district-level verification required before disbursement.,"[{""question"":""What is the income limit for ST students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""What is the maintenance allowance amount?"",""answer"":""Day scholars receive ₹550 per month and hostellers receive ₹1200 per month""},{""question"":""Is minimum marks percentage required?"",""answer"":""No minimum marks requirement for ST students""},{""question"":""Can I apply if studying outside Odisha?"",""answer"":""Yes, Odisha domicile students studying outside the state are eligible""}]",,2025-12-31,2025,Form-only,1,0,1,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/post-matric-scholarship-for-st-students-odisha
3,Post Matric Scholarship for OBC/SEBC Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 11, Class 12, Diploma, ITI, Undergraduate, Postgraduate, Technical, Professional",,,"OBC, SEBC",All,"Post-Matric (Class 11-12), Undergraduate (UG), Postgraduate (PG), Diploma/Polytechnic",50,250000,,13000,,2025-12-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, Admission letter, Bonafide certificate",https://scholarship.odisha.gov.in/,,"Tuition fee reimbursement, Admission fee coverage, Library and sports fee, Monthly maintenance allowance ₹350 for day scholars or ₹750 for hostellers, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select OBC/SEBC category and fill application form, 4. Upload required documents in PDF format (max 500 KB each), 5. Submit application before December 31, 6. Track status through portal using login credentials",Merit-based selection for students from OBC/SEBC category with minimum 50% marks in last exam and family income below ₹2.5 lakh. Students already receiving other state/central scholarships covering full tuition are ineligible. Institute and district-level verification required.,"[{""question"":""What is the income limit for OBC/SEBC students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""What is the maintenance allowance amount?"",""answer"":""Day scholars receive ₹350 per month and hostellers receive ₹750 per month""},{""question"":""Is minimum marks percentage required?"",""answer"":""Yes, must have secured at least 50% marks in last qualifying examination""},{""question"":""Can I apply if studying outside Odisha?"",""answer"":""Yes, Odisha domicile students studying outside the state are eligible""}]",,2026-01-01,2025,Form-only,1,0,0,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/post-matric-scholarship-for-obcsebc-students-odisha
4,Pre Matric Scholarship for SC Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 9, Class 10",,,SC,All,Pre-Matric (Class 9-10),,250000,,6000,,2026-01-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, School bonafide certificate",https://scholarship.odisha.gov.in/,,"School fee reimbursement, Books and uniform support, Maintenance allowance, Admission and other compulsory fees, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select SC category and Pre-Matric scheme, 4. Fill application form with academic and family details, 5. Upload required documents in PDF format (max 500 KB each), 6. Submit application before January 31, 7. Track status through portal",Merit-based selection for students from SC category studying in Class 9-10 with family income below ₹2.5 lakh. Students already receiving other state/central scholarships are ineligible. School and district-level verification required before disbursement.,"[{""question"":""What is the income limit for SC students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""Which classes are eligible?"",""answer"":""Students studying in Class 9 and Class 10 only""},{""question"":""Is minimum marks percentage required?"",""answer"":""No minimum marks requirement for SC students in Pre-Matric""},{""question"":""Can I renew this scholarship?"",""answer"":""Yes, scholarship available for one year per class. Must reapply when promoted to next class""}]",,2026-01-02,2025,Form-only,1,1,0,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/pre-matric-scholarship-for-sc-students-odisha
5,Pre Matric Scholarship for ST Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 9, Class 10",,,ST,All,Pre-Matric (Class 9-10),,250000,,6000,,2026-01-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, School bonafide certificate",https://scholarship.odisha.gov.in/,,"School fee reimbursement, Books and uniform support, Maintenance allowance, Admission and other compulsory fees, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select ST category and Pre-Matric scheme, 4. Fill application form with academic and family details, 5. Upload required documents in PDF format (max 500 KB each), 6. Submit application before January 31, 7. Track status through portal",Merit-based selection for students from ST category studying in Class 9-10 with family income below ₹2.5 lakh. Students already receiving other state/central scholarships are ineligible. School and district-level verification required before disbursement.,"[{""question"":""What is the income limit for ST students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""Which classes are eligible?"",""answer"":""Students studying in Class 9 and Class 10 only""},{""question"":""Is minimum marks percentage required?"",""answer"":""No minimum marks requirement for ST students in Pre-Matric""},{""question"":""Can I renew this scholarship?"",""answer"":""Yes, scholarship available for one year per class. Must reapply when promoted to next class""}]",,2026-01-03,2025,Form-only,1,0,0,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/pre-matric-scholarship-for-st-students-odisha
6,Pre Matric Scholarship for OBC/SEBC Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 9, Class 10",,,"OBC, SEBC",All,Pre-Matric (Class 9-10),,250000,,4000,,2026-01-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, School bonafide certificate",https://scholarship.odisha.gov.in/,,"School fee reimbursement, Books and uniform support, Maintenance allowance, Admission and other compulsory fees, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select OBC/SEBC category and Pre-Matric scheme, 4. Fill application form with academic and family details, 5. Upload required documents in PDF format (max 500 KB each), 6. Submit application before January 31, 7. Track status through portal",Merit-based selection for students from OBC/SEBC category studying in Class 9-10 with family income below ₹2.5 lakh. Students already receiving other state/central scholarships are ineligible. School and district-level verification required before disbursement.,"[{""question"":""What is the income limit for OBC/SEBC students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""Which classes are eligible?"",""answer"":""Students studying in Class 9 and Class 10 only""},{""question"":""Is minimum marks percentage required?"",""answer"":""Requirements may vary, check portal for specific criteria""},{""question"":""Can I renew this scholarship?"",""answer"":""Yes, scholarship available for one year per class. Must reapply when promoted to next class""}]",,2026-01-04,2025,Form-only,1,0,0,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/pre-matric-scholarship-for-obcsebc-students-odisha
7,Pre Matric Scholarship for EBC Students (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Class 9, Class 10",,,EBC,All,Pre-Matric (Class 9-10),,250000,,4000,,2026-01-31,,,,,,,"Aadhaar card, Caste certificate, Income certificate, Last qualifying exam marksheet, Bank passbook front page, Domicile certificate, School bonafide certificate",https://scholarship.odisha.gov.in/,,"School fee reimbursement, Books and uniform support, Maintenance allowance, Admission and other compulsory fees, Direct Benefit Transfer (DBT) to student bank account","1. Visit scholarship.odisha.gov.in, 2. Click Student Login or Register with Aadhaar, 3. Select EBC category and Pre-Matric scheme, 4. Fill application form with academic and family details, 5. Upload required documents in PDF format (max 500 KB each), 6. Submit application before January 31, 7. Track status through portal",Merit-based selection for students from EBC category studying in Class 9-10 with family income below ₹2.5 lakh. Students already receiving other state/central scholarships are ineligible. School and district-level verification required before disbursement.,"[{""question"":""What is the income limit for EBC students?"",""answer"":""Family income must not exceed ₹2.5 lakh per year from all sources""},{""question"":""Which classes are eligible?"",""answer"":""Students studying in Class 9 and Class 10 only""},{""question"":""Is minimum marks percentage required?"",""answer"":""Requirements may vary, check portal for specific criteria""},{""question"":""Can I renew this scholarship?"",""answer"":""Yes, scholarship available for one year per class. Must reapply when promoted to next class""}]",,2026-01-05,2025,Form-only,1,0,0,50,Inactive ,,Yes,Check scholarship.odisha.gov.in for helpline,Medium,,Ready for Production,http://localhost:3000/scholarships/pre-matric-scholarship-for-ebc-students-odisha
8,e-Medhabruti UG Merit Scholarship (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"BA, BSc, BCom, BBA, BCA, BJMC, All undergraduate degree courses",,5000,"General, SC, ST, OBC, SEBC, EBC",All,Undergraduate (UG),55,800000,,10000,,2099-12-31,,,,,,,"Aadhaar card, Domicile certificate, Income certificate from Tahasildar, Class 10 marksheet, Class 12 marksheet, Bank passbook front page with IFSC, College ID card or admission letter, Recent passport photo, Signature scan",https://scholarship.odisha.gov.in/,,"Annual scholarship of ₹10,000 for 3 years, Total benefit ₹30,000 for complete UG course, Direct Benefit Transfer (DBT) to student bank account, Covers tuition and educational expenses, Automatic renewal for course duration after first year approval, No need to reapply annually once approved","1. Visit scholarship.odisha.gov.in and register with Aadhaar, 2. Login with credentials received via SMS/email, 3. Select e-Medhabruti UG Merit from Schemes section, 4. Fill application with personal academic bank details, 5. Upload all required documents in PDF format under 2MB, 6. Submit application online, 7. Download and print 2 copies, 8. Submit printed copies to college principal for validation, 9. Track application status on portal",Merit-based selection for Odisha residents with 55% or more marks in Class 12 from CHSE/CBSE/ICSE and family income below ₹8 lakh. Apply only in first year of course. College principal must validate application online. In case of tie students with lower family income get preference. Total 5000 scholarships available annually.,"[{""question"":""What is the scholarship amount for UG students?"",""answer"":""₹10,000 per year for 3 years, total ₹30,000 for complete undergraduate course""},{""question"":""What is the income limit?"",""answer"":""Family income must not exceed ₹8 lakh per year from all sources""},{""question"":""What minimum marks are required?"",""answer"":""Minimum 55% marks in Class 12 examination from CHSE, CBSE, ICSE or equivalent board""},{""question"":""When should I apply?"",""answer"":""Apply only in first year of your UG course. Scholarship auto-renews for remaining years if approved""},{""question"":""Which courses are eligible?"",""answer"":""All regular 3-year UG degree courses like BA, BSc, BCom, BBA, BCA, BJMC in recognized colleges""}]",,2026-01-06,2025,Form-only,1,0,0,50,Inactive ,,Yes,"scholarshiphedgov@gmail.com, 0674-2396550",High,,Ready for Production,http://localhost:3000/scholarships/e-medhabruti-ug-merit-scholarship-odisha
9,e-Medhabruti PG Merit Scholarship (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"MA, MSc, MCom, All postgraduate non-professional courses in Arts Commerce Science",,,"General, SC, ST, OBC, SEBC, EBC",All,Postgraduate (PG),55,800000,,15000,,2099-12-31,,,,,,,"Aadhaar card, Domicile certificate, Income certificate from Tahasildar, Class 10 marksheet, Undergraduate degree marksheet and certificate, Bank passbook front page with IFSC, College ID card or admission letter, Recent passport photo, Signature scan",https://scholarship.odisha.gov.in/,,"Annual scholarship of ₹15,000 for 2 years, Total benefit ₹30,000 for complete PG course, Direct Benefit Transfer (DBT) to student bank account, Covers tuition and educational expenses, Automatic renewal for second year after first year approval, No need to reapply for second year once approved","1. Visit scholarship.odisha.gov.in and register with Aadhaar, 2. Login with credentials received via SMS/email, 3. Select e-Medhabruti PG Merit from Schemes section, 4. Fill application with personal academic bank details, 5. Upload all required documents in PDF format under 2MB, 6. Submit application online, 7. Download and print 2 copies, 8. Submit printed copies to college principal for validation, 9. Track application status on portal",Merit-based selection for Odisha residents with 55% or more marks in undergraduate degree in Arts Commerce Science and family income below ₹8 lakh. Apply only in first year of PG course. College principal must validate application online. In case of tie students with lower family income get preference.,"[{""question"":""What is the scholarship amount for PG students?"",""answer"":""₹15,000 per year for 2 years, total ₹30,000 for complete postgraduate course""},{""question"":""What is the income limit?"",""answer"":""Family income must not exceed ₹8 lakh per year from all sources""},{""question"":""What minimum marks are required?"",""answer"":""Minimum 55% marks in undergraduate degree in Arts, Commerce or Science""},{""question"":""When should I apply?"",""answer"":""Apply only in first year of your PG course. Scholarship auto-renews for second year if approved""},{""question"":""Which PG courses are eligible?"",""answer"":""Postgraduate courses in Arts, Commerce, Science and other non-professional fields in recognized colleges/universities""}]",,2026-01-07,2025,Form-only,1,0,0,50,Inactive ,,Yes,"scholarshiphedgov@gmail.com, 0674-2396550",High,,Ready for Production,http://localhost:3000/scholarships/e-medhabruti-pg-merit-scholarship-odisha
10,e-Medhabruti Technical & Professional Scholarship (Odisha),Government of Odisha,Government,State Government,Odisha,Odisha permanent resident,"Engineering, Medical, Pharmacy, Architecture, Nursing, Dental, Ayurveda, Homeopathy, Agriculture, Veterinary, Law, Management, Technical diploma, All AICTE MCI UGC recognized professional courses",,,"General, SC, ST, OBC, SEBC, EBC",All,"Undergraduate (UG), Postgraduate (PG), Diploma/Polytechnic",55,800000,,20000,,2099-12-31,,,,,,,"Aadhaar card, Domicile certificate, Income certificate from Tahasildar, Class 10 marksheet, Class 12 marksheet or graduation marksheet, Bank passbook front page with IFSC, College ID card or admission letter, Recent passport photo, Signature scan",https://scholarship.odisha.gov.in/,,"Annual scholarship of ₹20,000 for complete course duration, Highest amount among e-Medhabruti categories, Direct Benefit Transfer (DBT) to student bank account, Covers tuition and educational expenses, Supports courses like Engineering MBBS BDS Pharmacy Architecture MBA MCA Law, Automatic renewal for course duration after first year approval","1. Visit scholarship.odisha.gov.in and register with Aadhaar, 2. Login with credentials received via SMS/email, 3. Select e-Medhabruti Technical & Professional from Schemes section, 4. Fill application with personal academic bank details, 5. Upload all required documents in PDF format under 2MB, 6. Submit application online, 7. Download and print 2 copies, 8. Submit printed copies to college principal for validation, 9. Track application status on portal",Merit-based selection for Odisha residents pursuing technical or professional courses in institutions recognized by AICTE MCI DCI CCIM CCH INC UGC with 55% or more marks in qualifying exam and family income below ₹8 lakh. Apply only in first year of course. College principal must validate application online. In case of tie students with lower family income get preference.,"[{""question"":""What is the scholarship amount for technical/professional courses?"",""answer"":""₹20,000 per year for the complete duration of the course""},{""question"":""What is the income limit?"",""answer"":""Family income must not exceed ₹8 lakh per year from all sources""},{""question"":""What minimum marks are required?"",""answer"":""Minimum 55% marks in Class 12 for UG courses or graduation for PG professional courses""},{""question"":""When should I apply?"",""answer"":""Apply only in first year of your course. Scholarship auto-renews for remaining years if approved""},{""question"":""Which courses are eligible?"",""answer"":""Engineering, Medical (MBBS, BDS, BAMS, BHMS), Pharmacy, Architecture, Nursing, Agriculture, Veterinary, Law, MBA, MCA, and all AICTE/MCI/UGC recognized technical and professional courses""}]",,2026-01-08,2025,Form-only,1,0,0,50,Inactive ,,Yes,"scholarshiphedgov@gmail.com, 0674-2396550",High,,Ready for Production,http://localhost:3000/scholarships/e-medhabruti-technical-professional-scholarship-odisha
