ID,Slug,Title,Provider Type,Status,Is Legacy,Issues Count,Issues List
mahadbt-post-matric-scholarship-maharashtra,mahadbt-post-matric-scholarship-maharashtra,"MahaDBT Post-Matric Scholarship (Maharashtra)",Government,Active,No,3,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Required Documents | Missing Helpline Contact Details"
mahindra-all-india-talent-scholarship,mahindra-all-india-talent-scholarship,"Mahindra All India Talent Scholarship",Private,Active,No,3,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details | Missing FAQ Content"
teach-for-india-fellowship,teach-for-india-fellowship,"Teach For India Fellowship",Private,Active,No,3,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details | Missing FAQ Content"
dbfff1cd-4752-4e2f-92ed-7b036a45e25d,holland-scholarship,"Holland Scholarship",Study Abroad,Active,No,3,"Missing Min Amount | Old Year Reference (e.g. 2024 or 2025 in title or description) | Invalid Apply URL format: ""Applications are made directly through the website of the chosen participating Dutch higher education institution. There is no single central application portal for the NL Scholarship. Always check the institution's official website for specific application instructions and deadlines."""
nec-merit-scholarship,nec-merit-scholarship,"NEC Merit Scholarship",Government,Active,No,2,"Missing Required Documents | Missing Helpline Contact Details"
kotak-shiksha-nidhi-scholarship,kotak-shiksha-nidhi-scholarship,"Kotak Shiksha Nidhi Scholarship",Private,Active,No,2,"Missing Required Documents | Missing Helpline Contact Details"
sanchi-honnamma-scholarship-karnataka,sanchi-honnamma-scholarship-karnataka,"Sanchi Honnamma Scholarship (Karnataka)",Government,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Required Documents"
lila-poonawalla-foundation-scholarship,lila-poonawalla-foundation-scholarship,"Lila Poonawalla Foundation Scholarship",Private,Active,No,2,"Missing Required Documents | Missing Helpline Contact Details"
foundation-for-excellence-ffe-scholarship,foundation-for-excellence-ffe-scholarship,"Foundation for Excellence (FFE) Scholarship",Private,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Required Documents"
central-sector-scholarship-kerala-applicants-via-dce,central-sector-scholarship-kerala-applicants-via-dce,"Central Sector Scholarship (Kerala applicants via DCE)",Government,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details"
