id,slug,title,column,old_value,new_value
"minority-scholarship-pre-matric","minority-scholarship-pre-matric","Minority Scholarship (Pre-Matric)","status","","Active"
"post-matric-scholarship-for-differently-abled","post-matric-scholarship-for-differently-abled","Post-Matric Scholarship for Differently Abled","status","","Active"
"739bf971-d6af-48f9-9d8e-2b618b1ea96d","vanier-canada-graduate-scholarships","Vanier Canada Graduate Scholarships","status","active","Active"
"bd606fc3-1cff-4633-913a-b9a7c4c4efe2","canada-graduate-scholarships-masters-program","Canada Graduate Scholarships – Master’s Program","status","active","Active"
"73a4e267-9175-4a6d-9feb-02d635cf26d4","lester-b-pearson-international-scholarship-program","Lester B. Pearson International Scholarship Program","status","active","Active"
"e772e7d0-49de-43d7-98fb-86b73b14a94a","ubc-international-major-entrance-scholarship","UBC International Major Entrance Scholarship","status","active","Active"
"aa69daec-d7ef-47c2-8f3c-d739b3752fdd","pierre-elliott-trudeau-foundation-doctoral-scholarship","Pierre Elliott Trudeau Foundation Doctoral Scholarship","status","active","Active"
"05fb32af-2307-4add-bd24-b80d9f36a152","daad-research-grants-for-doctoral-candidates","DAAD Research Grants for Doctoral Candidates","status","active","Active"
"ac4e383d-d6d0-4c73-b3ba-67c7f16705a4","international-max-planck-research-school-imprs-phd-fellowship","International Max Planck Research School (IMPRS) PhD Fellowship","status","active","Active"
"9819b41e-ae8e-4c38-96be-e47b3ca57a04","heinrich-bll-foundation-scholarships","Heinrich Böll Foundation Scholarships","status","active","Active"
"d3e453b3-4b4b-439e-8ff2-a12835039ac7","konrad-adenauer-stiftung-scholarships","Konrad-Adenauer-Stiftung Scholarships","status","active","Active"
"6ff80d2e-306c-4ffd-9caa-2ae4f02857f7","esmt-berlin-mba-scholarships","ESMT Berlin MBA Scholarships","status","active","Active"
"f25a74cd-bc15-4cb9-b583-94b5d1e7a6c0","chevening-scholarships","Chevening Scholarships","status","active","Active"
"750fbe3f-0748-4263-be4f-95de0b8f06ec","commonwealth-phd-scholarships","Commonwealth PhD Scholarships","status","active","Active"
"639d78e2-f0c7-461e-af6a-0af6654192a0","clarendon-fund-scholarships","Clarendon Fund Scholarships","status","active","Active"
"397dd9df-c170-40f0-87ab-e5952c6fd189","rhodes-scholarship","Rhodes Scholarship","status","active","Active"
"469e52fc-9db6-4254-b690-9c90be8f6f6d","oxford-pershing-square-graduate-scholarships","Oxford Pershing Square Graduate Scholarships","status","active","Active"
"147eba23-41d1-4bc1-8055-834f1ef84efd","london-business-school-mba-scholarships","London Business School MBA Scholarships","status","active","Active"
"e5b7627e-1b84-4163-b06a-c33d89fa7b0b","fulbright-nehru-doctoral-research-fellowships","Fulbright-Nehru Doctoral Research Fellowships","status","active","Active"
"325d045c-3617-4838-a117-d2ef315536b2","fulbright-nehru-masters-fellowships","Fulbright-Nehru Master's Fellowships","status","active","Active"
"fd4177dc-45cf-4b65-bf5d-fb1c1898f0d6","knight-hennessy-scholars-program","Knight-Hennessy Scholars Program","status","active","Active"
"48d37005-0f65-40eb-a0c2-e7424d79bbbe","harvard-business-school-need-based-fellowships","Harvard Business School Need-Based Fellowships","status","active","Active"
"f7e63d10-2d1b-437f-9bd8-edda7dd140ad","wharton-mba-fellowships","Wharton MBA Fellowships","status","active","Active"
"646472aa-1e16-44ca-a215-d9b4eedb7cca","stanford-gsb-need-based-fellowships","Stanford GSB Need-Based Fellowships","status","active","Active"
"2049c5db-fa97-4bc1-adb7-4bc4916b81a0","hubert-h-humphrey-fellowship-program","Hubert H. Humphrey Fellowship Program","status","active","Active"
