"Clean Path","Absolute URL","Page Class","Template Code File","Title Tag Template / Active Title","Primary Dynamic Variable","Database Reference ID","Active Scholarships Count","Sitemap Priority","Verification Status","Content Quality Checklist Status"
"/","https://www.indiascholarships.in","Static Route","app/page.tsx","Home Page","None","N/A","All","1.0","System","Always Complete"
"/scholarships","https://www.indiascholarships.in/scholarships","Static Route","app/scholarships/page.tsx","Scholarships Directory","None","N/A","All","0.8","System","Always Complete"
"/state-scholarships","https://www.indiascholarships.in/state-scholarships","Static Route","app/state-scholarships/page.tsx","Scholarships by Indian States","None","N/A","All","0.8","System","Always Complete"
"/scholarships-by-category","https://www.indiascholarships.in/scholarships-by-category","Static Route","app/scholarships-by-category/page.tsx","Scholarships by Category","None","N/A","All","0.8","System","Always Complete"
"/scholarships-by-education","https://www.indiascholarships.in/scholarships-by-education","Static Route","app/scholarships-by-education/page.tsx","Scholarships by Education Level","None","N/A","All","0.8","System","Always Complete"
"/scholarships-by-income","https://www.indiascholarships.in/scholarships-by-income","Static Route","app/scholarships-by-income/page.tsx","Scholarships by Family Income Limit","None","N/A","All","0.8","System","Always Complete"
"/government-scholarships","https://www.indiascholarships.in/government-scholarships","Static Route","app/government-scholarships/page.tsx","Government Scholarships","None","N/A","All","0.8","System","Always Complete"
"/private-scholarships","https://www.indiascholarships.in/private-scholarships","Static Route","app/private-scholarships/page.tsx","Private Scholarships","None","N/A","All","0.8","System","Always Complete"
"/corporate-scholarships","https://www.indiascholarships.in/corporate-scholarships","Static Route","app/corporate-scholarships/page.tsx","Corporate Scholarships","None","N/A","All","0.8","System","Always Complete"
"/eligibility-checker","https://www.indiascholarships.in/eligibility-checker","Static Route","app/eligibility-checker/page.tsx","Scholarship Eligibility Checker","None","N/A","All","0.8","System","Always Complete"
"/guides","https://www.indiascholarships.in/guides","Static Route","app/guides/page.tsx","Scholarship Application Guides Hub","None","N/A","All","0.8","System","Always Complete"
"/guides/nsp","https://www.indiascholarships.in/guides/nsp","Static Route","app/guides/nsp/page.tsx","National Scholarship Portal (NSP) Guide","None","N/A","All","0.8","System","Always Complete"
"/guides/ssp","https://www.indiascholarships.in/guides/ssp","Static Route","app/guides/ssp/page.tsx","State Scholarship Portal (SSP) Guide","None","N/A","All","0.8","System","Always Complete"
"/guides/tracking","https://www.indiascholarships.in/guides/tracking","Static Route","app/guides/tracking/page.tsx","Tracking Application Status Guide","None","N/A","All","0.8","System","Always Complete"
"/guides/documents","https://www.indiascholarships.in/guides/documents","Static Route","app/guides/documents/page.tsx","Required Documents Guide","None","N/A","All","0.8","System","Always Complete"
"/about","https://www.indiascholarships.in/about","Static Route","app/about/page.tsx","About Us","None","N/A","All","0.8","System","Always Complete"
"/scholarships-in/andaman-nicobar-islands","https://www.indiascholarships.in/scholarships-in/andaman-nicobar-islands","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Andaman & Nicobar Islands 2026 - Apply Online","Andaman & Nicobar Islands","N/A","1","0.6","Dynamic","Active content"
"/scholarships-in/andaman-and-nicobar-islands","https://www.indiascholarships.in/scholarships-in/andaman-and-nicobar-islands","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Andaman and Nicobar Islands 2026 - Apply Online","Andaman and Nicobar Islands","N/A","1","0.6","Dynamic","Active content"
"/scholarships-in/andhra-pradesh","https://www.indiascholarships.in/scholarships-in/andhra-pradesh","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Andhra Pradesh 2026 - Apply Online","Andhra Pradesh","N/A","7","0.6","Dynamic","Active content"
"/scholarships-in/arunachal-pradesh","https://www.indiascholarships.in/scholarships-in/arunachal-pradesh","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Arunachal Pradesh 2026 - Apply Online","Arunachal Pradesh","N/A","2","0.6","Dynamic","Active content"
"/scholarships-in/assam","https://www.indiascholarships.in/scholarships-in/assam","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Assam 2026 - Apply Online","Assam","N/A","3","0.6","Dynamic","Active content"
"/scholarships-in/bihar","https://www.indiascholarships.in/scholarships-in/bihar","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Bihar 2026 - Apply Online","Bihar","N/A","7","0.6","Dynamic","Active content"
"/scholarships-in/chandigarh","https://www.indiascholarships.in/scholarships-in/chandigarh","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Chandigarh 2026 - Apply Online","Chandigarh","N/A","1","0.6","Dynamic","Active content"
"/scholarships-in/chhattisgarh","https://www.indiascholarships.in/scholarships-in/chhattisgarh","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Chhattisgarh 2026 - Apply Online","Chhattisgarh","N/A","7","0.6","Dynamic","Active content"
"/scholarships-in/dadra-and-nagar-haveli-and-daman","https://www.indiascholarships.in/scholarships-in/dadra-and-nagar-haveli-and-daman","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Dadra and Nagar Haveli and Daman and Diu 2026 - Apply Online","Dadra and Nagar Haveli and Daman and Diu","N/A","1","0.6","Dynamic","Active content"
"/scholarships-in/delhi","https://www.indiascholarships.in/scholarships-in/delhi","State Hub Listing","app/scholarships-in/[state]/page.tsx","Scholarships in Delhi 2026 - Apply Online","Delhi","N/A","5","0.6","Dynamic","Active content"
