"Priority","Query","Intent","Clicks","Impressions","CTR","Position","Opportunity score","Owner","Owner type","Owner share","Ownership","Meaningful pages","Secondary pages","Recommended action"
"1","e kalyan","entity lookup","644","222724","0.29","3.74","16095","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","92.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"2","digital gujarat scholarship","entity lookup","354","138996","0.25","6.39","10020","https://www.indiascholarships.in/scholarships/digital-gujarat-post-matric-scholarship-for-sc-students","scholarship detail","51.6","Split / unclear","2","/scholarships/gujarat-post-matric-scholarship-for-obc (38681)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"3","ekalyan","entity lookup","197","69343","0.28","4.52","5221","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","99.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"4","state scholarship","entity lookup","181","64323","0.28","6.05","4704","https://www.indiascholarships.in/scholarships-in/odisha","state hub","97.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"5","oasis scholarship","entity lookup","274","61716","0.44","4.57","4563","https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-obc-students-west-bengal","scholarship detail","53.6","Split / unclear","2","/scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal (12783)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"6","nabanna scholarship","entity lookup","1617","77001","2.10","4.29","4382","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","90.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"7","nsp portal","entity lookup","70","57867","0.12","6.16","4294","https://www.indiascholarships.in/guides/nsp","portal guide","99.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"8","mmvy","entity lookup","167","54449","0.31","4.49","4082","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","98.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"9","nsp","entity lookup","72","50480","0.14","5.72","3823","https://www.indiascholarships.in/guides/nsp","portal guide","99.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"10","jindal scholarship","entity lookup","1927","71821","2.68","5.26","3768","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"11","aikyashree","entity lookup","312","48783","0.64","7.52","3138","https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority","scholarship detail","42.3","Split / unclear","4","/te/scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal/eligibility (8640) | /scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal/apply-online (5150) | /scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal (4176)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"12","post matric scholarship odisha","entity lookup","1198","52453","2.28","4.23","2882","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha","scholarship detail","36.7","Split / unclear","4","/scholarships/post-matric-scholarship-for-sc-students-odisha (11932) | /scholarships-in/odisha (8848) | /scholarships/post-matric-scholarship-for-obcsebc-students-odisha (8089)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"13","mptaas","entity lookup","55","32210","0.17","5.54","2453","https://www.indiascholarships.in/scholarships/mp-mptaas-post-matric-scholarship-for-obc-students","scholarship detail","92.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"14","odisha state scholarship","entity lookup","624","37902","1.65","5.28","2374","https://www.indiascholarships.in/scholarships-in/odisha","state hub","98.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"15","aikyashree scholarship","entity lookup","264","33601","0.79","7.79","2086","https://www.indiascholarships.in/scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal/apply-online","scholarship subpage","33.0","Split / unclear","3","/scholarships/aikyashree-scholarship-west-bengal-minority (10880) | /scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal (5084)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"16","ssp pre matric scholarship","entity lookup","78","25497","0.31","5.29","1933","https://www.indiascholarships.in/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka","scholarship detail","36.9","Split / unclear","4","/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/apply-online (7129) | /scholarships/legacy-ssp-pre-matric-scholarship-state-scholarship-portal (5026) | /kn/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/apply-online (2324)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"17","ssp portal","entity lookup","71","27046","0.26","6.62","1923","https://www.indiascholarships.in/guides/ssp","portal guide","89.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"18","e grantz","entity lookup","36","24810","0.15","5.49","1901","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","86.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"19","azim premji scholarship","entity lookup","70","30308","0.23","8.95","1890","https://www.indiascholarships.in/scholarships/azim-premji-scholarship","scholarship detail","59.5","Split / unclear","2","/scholarships/azim-premji-scholarship/eligibility (9247)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"20","egrantz 3.0","entity lookup","21","22732","0.09","6.20","1690","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"21","ongc scholarship","entity lookup","73","24317","0.30","7.43","1645","https://www.indiascholarships.in/scholarships/ongc-scholarship-csr","scholarship detail","95.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"22","e grantz 3.0","entity lookup","25","21350","0.12","5.53","1639","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","98.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"23","azim premji scholarship 2026","entity lookup","91","23212","0.39","7.67","1530","https://www.indiascholarships.in/scholarships/azim-premji-scholarship","scholarship detail","42.4","Split / unclear","3","/scholarships/azim-premji-scholarship/eligibility (6343) | /scholarships/azim-premji-scholarship/selection-process (6033)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"24","ssp pre matric","entity lookup","31","21137","0.15","6.66","1522","https://www.indiascholarships.in/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/apply-online","scholarship subpage","38.0","Split / unclear","3","/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka (4716) | /ta/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/selection-process (2027)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"25","e kalyan jharkhand","entity lookup","136","21955","0.62","3.67","1513","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","88.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"26","hdfc parivartan scholarship","entity lookup","250","23809","1.05","7.24","1469","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","99.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"27","yashasvi scholarship","entity lookup","534","24962","2.14","5.13","1454","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","97.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"28","egrantz","entity lookup","17","19099","0.09","6.56","1393","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","94.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"29","sitaram jindal scholarship","entity lookup","6893","103763","6.64","4.06","1342","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"30","scholarship odisha","entity lookup","284","20501","1.39","5.26","1339","https://www.indiascholarships.in/scholarships-in/odisha","state hub","63.5","Split / unclear","2","/scholarships/pre-matric-scholarship-for-obcsebc-students-odisha (2804)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"31","odisha state scholarship portal","entity lookup","190","19241","0.99","5.93","1286","https://www.indiascholarships.in/scholarships-in/odisha","state hub","96.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"32","jindal scholarship 2026","entity lookup","3091","55143","5.61","3.77","1239","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"33","post matric scholarship","entity lookup","155","19033","0.81","6.92","1236","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","75.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"34","mysy scholarship","entity lookup","134","20000","0.67","8.29","1225","https://www.indiascholarships.in/scholarships/mukhyamantri-yuva-swavalamban-yojana-mysy/apply-online","scholarship subpage","92.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"35","mysy","entity lookup","101","18170","0.56","8.08","1144","https://www.indiascholarships.in/scholarships/mukhyamantri-yuva-swavalamban-yojana-mysy/apply-online","scholarship subpage","69.1","Split / unclear","2","/scholarships/mukhyamantri-yuva-swavalamban-yojana-mysy/renewal-process (4905)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"36","odisha scholarship","entity lookup","189","16846","1.12","5.61","1123","https://www.indiascholarships.in/scholarships-in/odisha","state hub","71.9","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"37","medhavi scholarship","entity lookup","37","15363","0.24","6.38","1110","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"38","pm yashasvi yojana","entity lookup","517","22090","2.34","7.77","1077","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","99.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"39","scolarship.gov.in 2026","entity lookup","167","16558","1.01","7.54","1010","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","99.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"40","hdfc scholarship","entity lookup","214","15803","1.35","7.73","907","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","98.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
