title,slug,provider,provider_type,state,level,caste,gender,amount_annual,amount_min,amount_description,benefits,income_limit,min_marks,age_limit,docs_needed,apply_url,deadline,step_guide,selection,renewal,helpline,intro_seo,faq_json,tags,thumbnail_url
"BITSAT Scholarship 2026","bitsat-scholarship","BITS Pilani","Private University","All India","UG","General, OBC, SC, ST","All","200000","20000","10% to 100% tuition fee waiver based on merit and need","Tuition fee waiver (10-100%), Hostel fee concession (25% for BITSAT 150+), Renewable based on CGPA, Special scholarships for board toppers and sports achievers","","75","No age limit","BITSAT Scorecard, 12th Marksheet, Aadhar Card, Income Certificate (for merit-cum-need), Admission Proof","https://www.bitsadmission.com/","2026-03-16","1. Register for BITSAT 2026 on official portal 2. Appear for BITSAT exam (Session 1: April 15-17 or Session 2: May 24-26) 3. Qualify exam and apply for admission 4. Merit scholarships auto-awarded based on score 5. For merit-cum-need, submit income documents during admission 6. Scholarship reflected in fee structure","Merit-based on BITSAT score and 12th marks; Merit-cum-need considers financial background; Top 5% under merit-cum-need get 100% waiver; Renewable semester-wise based on CGPA (9.0+ for 20% waiver)","Renewable semester-wise based on CGPA; Must maintain 9.0 CGPA for 20% merit scholarship","admissions@pilani.bits-pilani.ac.in","BITS Pilani offers comprehensive merit-based scholarships ranging from 10% to 100% tuition fee waiver for students admitted through BITSAT. Scholarships are awarded based on BITSAT scores, board exam performance, and financial need. Top scorers (300+) can receive up to 75% fee waiver, while merit-cum-need scholarships can cover 100% tuition for deserving students.","[{""q"":""Do I need to apply separately for scholarship?"",""a"":""No, merit scholarships are auto-awarded based on BITSAT score. Only merit-cum-need requires additional documentation.""},{""q"":""What BITSAT score is needed for scholarship?"",""a"":""200+ for 25% waiver, 250+ for 50% waiver, 300+ for 75% waiver""},{""q"":""Is the scholarship renewable?"",""a"":""Yes, renewable semester-wise based on maintaining required CGPA""}]","[""Merit"",""Engineering"",""All India"",""Private""]",""
"LIC Golden Jubilee Scholarship 2026","lic-golden-jubilee-scholarship","Life Insurance Corporation of India","Public Sector Company","All India","UG,Diploma","All","All (Special scholarship for girl child available)","40000","15000","₹15,000-40,000 based on course (Medical: ₹40,000, Engineering: ₹30,000, General/Diploma: ₹20,000, Girl Child: ₹15,000)","Annual scholarship of ₹15,000-40,000 paid in two installments; Direct bank transfer via NEFT; Special scholarship for girl child (₹15,000 for 2 years); Covers tuition fees and educational expenses","450000","60","No age limit","Income Certificate, Caste Certificate (if applicable), Bank Account Details, Cancelled Cheque, Marksheet of last qualifying exam, Aadhar Card","https://www.licindia.in/","2026-09-30","1. Visit www.licindia.in or scholarship portal 2. Click 'Apply Now' for Golden Jubilee Scholarship 3. Register using email/mobile 4. Fill application form with personal, academic, income details 5. Upload required documents (income cert, marksheet, bank details) 6. Review and submit application 7. Receive acknowledgment with application number 8. Shortlisted candidates contacted by Divisional Offices","Merit-based considering marks obtained and income criteria; Lower income bands given preference; Shortlisted candidates evaluated by Divisional Offices; Physical document verification required","For general scholarship: Must maintain 55% in Medical/Engineering or 50% in General courses; Girl child scholarship is for 2 years only","Check LIC divisional office","LIC Golden Jubilee Scholarship Scheme provides financial assistance to meritorious students from economically weaker sections pursuing higher education. The scholarship supports students in Medical, Engineering, General Graduation, Diploma, and ITI courses with amounts ranging from ₹15,000 to ₹40,000 annually based on the course type.","[{""q"":""What is the income limit?"",""a"":""Annual family income must not exceed ₹4.5 lakh from all sources""},{""q"":""Can postgraduate students apply?"",""a"":""No, this scholarship is only for undergraduate, diploma, and ITI courses""},{""q"":""How is the scholarship amount paid?"",""a"":""Paid in two equal installments directly to student's bank account via NEFT""}]","[""Corporate"",""Need-based"",""All India"",""Girl Child""]",""
"Tata Capital Pankh Scholarship 2026","tata-capital-pankh-scholarship","Tata Capital","Private Company - CSR","All India","Class 11-12,UG,Diploma","All","All","100000","10000","₹10,000-1,00,000 based on marks and course (Professional: up to ₹1L, General UG: ₹12-18K, Class 11-12: ₹10-15K)","Up to 80% of tuition/course fees; Class 11-12: ₹10-15K, General UG/Diploma: ₹12-18K, Professional degrees: up to ₹1 lakh; One-time grant for academic year; Direct bank transfer","250000","60","No age limit","Aadhaar Card, Passport-size photo, Income Proof (Form 16A/Income Certificate/Salary slips), Admission Proof (ID card/Bonafide), Fee Receipt, Bank Account Details, Cancelled Cheque, Marksheets, Disability Certificate (if applicable), Caste Certificate (if applicable)","https://www.buddy4study.com/page/tata-capital-pankh-scholarship-program","2026-09-30","1. Visit Buddy4Study platform 2. Click 'Apply Now' for Tata Pankh Scholarship 3. Login or register with email/mobile/Gmail 4. Click 'Start Application' 5. Fill 'Check Your Eligibility' form 6. Complete application with accurate details 7. Upload all required documents 8. Accept Terms and Conditions, click 'Preview' 9. Review all details carefully 10. Submit application","Merit-cum-need based; Academic excellence (60-80% marks) and financial background considered; Higher marks get higher scholarship amounts; One-time grant for the academic year","One-time grant; Need to reapply annually","Available on Buddy4Study platform","Tata Capital Pankh Scholarship Program supports meritorious students from economically weaker sections to pursue higher education. The scholarship covers up to 80% of tuition fees with amounts ranging from ₹10,000 for Class 11-12 students to ₹1,00,000 for professional degree programs, based on academic performance and financial need.","[{""q"":""What is the income limit?"",""a"":""Annual family income must be less than ₹2.5 lakh from all sources""},{""q"":""How much scholarship can I get?"",""a"":""Depends on your marks and course: 60-80% get lower amount, 91%+ get maximum; Professional degrees get up to ₹1 lakh""},{""q"":""Is it renewable?"",""a"":""No, it's a one-time grant for the academic year. You need to reapply next year""}]","[""Corporate"",""Merit-cum-Need"",""All India"",""CSR""]",""
"PM Yashasvi Scholarship 2026","pm-yashasvi-scholarship","Ministry of Social Justice and Empowerment, Government of India","Central Government","All India","Class 9-12","OBC, EBC, DNT","All","125000","75000","Class 9: ₹75,000/year, Class 11: ₹1,25,000/year","Class 9: ₹75,000 per year; Class 11: ₹1,25,000 per year; Covers tuition, books, and educational expenses; Direct bank transfer; Separate Pre-Matric scheme also available (₹4,000/year for Classes 9-10 in govt schools)","250000","60","Class 9 or Class 11 students","Aadhaar Card, Category Certificate (OBC/EBC/DNT), Income Certificate, Previous year marksheet, School Bonafide Certificate, Bank Account Details, Passport-size photo","https://scholarships.gov.in/","2026-08-31","1. Visit National Scholarship Portal (scholarships.gov.in) 2. Register/Login with credentials 3. Select PM Yashasvi Scholarship scheme 4. Fill application form with personal and academic details 5. Upload required documents (category cert, income cert, marksheet) 6. Enter bank account details 7. Review application carefully 8. Submit application 9. Note down application ID for tracking","Merit-based selection considering 60% minimum marks in previous class; Priority to students from OBC, EBC, and DNT categories; Income limit strictly enforced (below ₹2.5 lakh); Verification by concerned authorities","Renewable annually subject to maintaining eligibility criteria and academic performance","NSP Helpline: 0120-6619540","PM Yashasvi (Vibrant India) Scholarship is a Central Government scheme providing financial assistance to meritorious students from OBC, EBC, and DNT categories studying in Class 9 and Class 11. The scholarship offers ₹75,000 annually for Class 9 students and ₹1,25,000 for Class 11 students to support their education in government or recognized private schools.","[{""q"":""Who can apply?"",""a"":""Students from OBC, EBC, or DNT categories currently in Class 9 or 11 with family income below ₹2.5 lakh""},{""q"":""Can I apply if I'm in a private school?"",""a"":""Yes, students in government, government-aided, or recognized private schools can apply""},{""q"":""Can I get this with another scholarship?"",""a"":""No, you cannot hold any other educational scholarship simultaneously with PM Yashasvi""}]","[""Government"",""Merit-based"",""OBC"",""EBC"",""DNT"",""Central Scheme""]",""
"TRTI Scholarship 2026 (Maharashtra ST)","trti-scholarship-maharashtra-st","Tribal Research and Training Institute, Pune","State Government - Maharashtra","Maharashtra","All levels (School to Ph.D.)","ST","All","46000","","Amount varies by scheme - from school scholarships to Ph.D. fellowships","Multiple schemes available: School/college scholarships, Professional course support, Competitive exam coaching (SSC, IBPS, MPSC, TET, Police, Military), Ph.D. Research Fellowship, Pre-examination training programs; Amounts vary by scheme","","","Varies by scheme","Aadhaar Card (front and back), ST Caste Certificate, Caste Validity Certificate (mandatory), Domicile Certificate, Income Certificate (last 3 years by Tahsildar), Previous year marksheet, 10th/SSC certificate, 12th/HSC certificate, Graduation/PG certificates (if applicable), Bank account details, Passport-size photo, Scanned signature, Non-Creamy Layer Certificate (if applicable), PWD certificate (if applicable)","https://trti.maharashtra.gov.in/","Varies by scheme","1. Visit trti.maharashtra.gov.in 2. New users: Register with mobile and email, receive OTP, submit registration 3. Login with credentials (change password after first login) 4. Fill application form (personal, address, qualification details) 5. Upload scanned documents in specified formats (JPG for photo/signature, PDF for others) 6. Select appropriate scheme from eligible list 7. Submit application (no edits allowed after submission) 8. Download/print application for records 9. Check status using Application ID or mobile number","Varies by scheme; Generally merit-based for academic scholarships; Eligibility verification by TRTI; Caste Validity Certificate mandatory; Income criteria for some schemes; Selection for competitive exam coaching based on graduation status","Varies by scheme; Some renewable, some one-time","Available on TRTI portal","Tribal Research and Training Institute (TRTI), Pune offers various scholarships and training programs exclusively for Scheduled Tribe (ST) students from Maharashtra. The schemes cover education from school level to Ph.D., including competitive exam coaching, pre-examination training, and research fellowships to support tribal students' educational advancement.","[{""q"":""Who can apply?"",""a"":""Only ST category students with Maharashtra domicile and valid Caste Validity Certificate""},{""q"":""What is Caste Validity Certificate?"",""a"":""A mandatory certificate issued by competent authority validating your ST caste claim, required specifically for TRTI schemes""},{""q"":""Can I apply for multiple schemes?"",""a"":""Yes, if you meet eligibility for multiple schemes, you can apply separately for each""}]","[""Government"",""ST"",""Maharashtra"",""Tribal"",""State Scheme""]",""
"National Means-cum-Merit Scholarship (NMMS)","national-means-cum-merit-scholarship","Ministry of Education, Government of India","Central Government","All India","Class 9-12","All","All","12000","12000","Fixed ₹12,000 per year for Class 9-12","Annual scholarship of ₹12,000 paid in installments","350000","55","Must be in Class 8 to apply","Class 7 & 8 Marksheets, Income Certificate, School Bonafide, Bank Account, Aadhaar","https://scholarships.gov.in","2025-11-30","1. Apply through state portal 2. Appear for NMMS exam 3. Qualify exam 4. Submit documents online 5. Receive scholarship","Merit-based exam with Mental Ability Test (MAT) and Scholastic Aptitude Test (SAT)","Yes","011-26172491, nmms-moe@gov.in","National Means-cum-Merit Scholarship (NMMS) provides ₹12,000 annually for meritorious students from Class 9-12. Requires qualifying an exam with 55% marks and family income below ₹3.5 lakh.","[{""q"":""What is the exam pattern?"",""a"":""Two tests: Mental Ability Test (MAT) and Scholastic Aptitude Test (SAT), 90 questions each""},{""q"":""What is the pass percentage?"",""a"":""Must score 40% in each test (32% for SC/ST)""},{""q"":""Can private school students apply?"",""a"":""No, only government and government-aided school students are eligible""}]","",""
"Maharashtra Post-Matric OBC Scholarship","maharashtra-postmatric-obc","Government of Maharashtra - Social Justice Department","State Government","Maharashtra","Post-Matric","OBC","All","18000","2000","₹2,000-18,000 based on course and institution type","Tuition fees, Maintenance allowance, Hostel charges, Book allowance","800000","50","No age limit","Aadhaar, OBC Certificate, Income Certificate, Marksheet, Bank Details, Domicile Certificate","https://mahadbtmahait.gov.in","2025-10-31","1. Register on MahaDBT portal 2. Fill application form 3. Upload documents 4. Submit and track status","Need-based, merit consideration for professional courses","Yes, renewable annually","022-22625651, mahadbt@maharashtra.gov.in","Maharashtra Post-Matric OBC Scholarship provides ₹2,000-18,000 annually for OBC students. Apply with 50% marks and family income below ₹8 lakh.","[{""q"":""Who is eligible?"",""a"":""OBC students from Maharashtra with family income below ₹8 lakh and 50%+ marks""},{""q"":""Can I apply for multiple scholarships?"",""a"":""No, you can apply for only one government scholarship at a time""}]","",""
"Maharashtra Minority Post-Matric Scholarship","maharashtra-minority-postmatric","Government of Maharashtra - Minority Development Department","State Government","Maharashtra","Post-Matric","Minority","All","15000","1500","₹1,500-15,000 for minority community students","Tuition fees, Maintenance allowance, Book grant","500000","45","No age limit","Minority Certificate, Income Certificate, Marksheet, Aadhaar, Bank Details","https://mahadbtmahait.gov.in","2025-11-15","1. Register on MahaDBT 2. Fill form 3. Upload documents 4. Submit","Need-based, automatic for eligible students","Yes","022-22027990","Maharashtra Minority Post-Matric Scholarship for Muslim, Christian, Sikh, Buddhist, Jain, and Parsi students provides ₹1,500-15,000 annually.","[{""q"":""Which communities are eligible?"",""a"":""Muslim, Christian, Sikh, Buddhist, Jain, and Parsi communities""}]","",""
"Maharashtra EBC Post-Matric Scholarship","maharashtra-ebc-postmatric","Government of Maharashtra - Social Justice Department","State Government","Maharashtra","Post-Matric","EBC","All","12000","1500","₹1,500-12,000 for economically backward students","Financial assistance for education","100000","40","No limit","EBC Certificate, Income Certificate, Marksheet, Aadhaar","https://mahadbtmahait.gov.in","2025-10-31","1. Register 2. Fill form 3. Upload docs 4. Submit","Income-based, automatic approval","Yes","022-22625651","Maharashtra EBC Post-Matric Scholarship for economically backward students provides ₹1,500-12,000 annually with family income below ₹1 lakh.","[{""q"":""What is the income limit?"",""a"":""Family income must be below ₹1 lakh per year""}]","",""
"Maharashtra Girls Merit Scholarship","maharashtra-girls-merit","Government of Maharashtra - Women & Child Development","State Government","Maharashtra","UG","All","Female","20000","20000","Fixed ₹20,000 for meritorious girl students","Annual scholarship for girls in STEM fields","600000","75","Under 25 years","Marksheet, Income Certificate, Aadhaar, College Admission Proof","https://mahadbtmahait.gov.in","2025-09-15","1. Register 2. Fill form 3. Upload documents 4. Submit","Merit-based, 75% minimum marks required","Yes, subject to maintaining 70% marks","022-22025441","Maharashtra Girls Merit Scholarship provides ₹20,000 annually for meritorious girl students in STEM fields with 75%+ marks.","[{""q"":""What is the minimum marks requirement?"",""a"":""75% marks in previous qualifying exam""},{""q"":""Which courses are eligible?"",""a"":""Engineering, Medical, and Science streams only""}]","",""
